TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_NAME,COLLATION_NAME,COLUMN_TYPE,COLUMN_KEY,EXTRA,PRIVILEGES,COLUMN_COMMENT,GENERATION_EXPRESSION
def,airquality,2000_pm10_24g,"Kod stacji",1,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2000_pm10_24g,DsWrocWie,2,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2000_pm10_24g,KpCiechoTezniowa,3,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2000_pm10_24g,LdLodzWSSEMWodna40,4,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2000_pm10_24g,MpKrakowWIOSAKra6117,5,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2000_pm10_24g,MpKrakowWIOSPrad6115,6,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2000_pm10_24g,MzWarszKrucza,7,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2000_pm10_24g,PkPrzemWIOSDolin,8,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2001_pm10_24g,"Kod stacji",1,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2001_pm10_24g,DsJelw05,2,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2001_pm10_24g,DsWrocWie,3,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2001_pm10_24g,KpCiechoTezniowa,4,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2001_pm10_24g,KpWloclSielska,5,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2001_pm10_24g,LbBialaPOrzechowa,6,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2001_pm10_24g,LdLodzWSSEMWodna40,7,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2001_pm10_24g,MpKrakowWIOSAKra6117,8,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2001_pm10_24g,MpKrakowWIOSPrad6115,9,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2001_pm10_24g,MzWarszKrucza,10,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2001_pm10_24g,PkPrzemWIOSDolin,11,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2002_pm10_24g,"Kod stacji",1,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2002_pm10_24g,DsJelw05,2,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
def,airquality,2002_pm10_24g,DsWrocWie,3,NULL,YES,text,65535,65535,NULL,NULL,NULL,utf8,utf8_general_ci,text,,,"select,insert,update",,
