Kod stacji,DsWrocWie,KpCiechoTezniowa,LdLodzWSSEMWodna40,MpKrakowWIOSAKra6117,MpKrakowWIOSPrad6115,MzWarszKrucza,PkPrzemWIOSDolin
Wskaźnik,PM10,PM10,PM10,PM10,PM10,PM10,PM10
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g
1/1/2000 0:00,,,,135.9,130,,153
1/2/2000 0:00,,,,129.1,116,,
1/3/2000 0:00,37.9,25,55,41.2,33,35.6,44
1/4/2000 0:00,21.6,,44,36.4,26,37.4,
1/5/2000 0:00,44.4,12,42,33.9,24,26.4,38
1/6/2000 0:00,72.6,,47,57.2,43,76.6,
1/7/2000 0:00,81.2,72,92,92.5,77,,40
1/8/2000 0:00,51.3,,71,91.5,79,42.3,
1/9/2000 0:00,81.5,35,,59.5,41,,56
1/10/2000 0:00,35.7,,56,48.6,35,53.3,
1/11/2000 0:00,77.4,48,78,91.2,58,73,136
1/12/2000 0:00,81.8,,110,76.6,65,96.3,
1/13/2000 0:00,64.7,62,96,114.4,96,15.9,112
1/14/2000 0:00,102.9,,77,131.3,106,,
1/15/2000 0:00,,43,74,58.2,,15.9,95
1/16/2000 0:00,,,,46.4,,,
1/17/2000 0:00,10.8,7,27,16.4,,22.1,34
1/18/2000 0:00,21.9,,21,15,13,53.3,
1/19/2000 0:00,22.5,12,25,14.8,14,53.3,34
1/20/2000 0:00,15.1,,20,18.4,14,,
1/21/2000 0:00,83.3,28,27,15.2,13,,63
1/22/2000 0:00,54.8,,63,30,23,,
1/23/2000 0:00,78,149,,40.1,36,,32
1/24/2000 0:00,43.8,,75,105.2,85,,
1/25/2000 0:00,38.8,33,51,58.5,50,39.2,88
1/26/2000 0:00,31.3,,,29.6,26,35.6,
1/27/2000 0:00,30.4,24,47,26.1,20,38.6,56
1/28/2000 0:00,42.3,,47,27.7,20,,
1/29/2000 0:00,,21,26,25.1,12,49.1,50
1/30/2000 0:00,,,,11.8,11,,
1/31/2000 0:00,21,13,29,18.4,13,17.2,21
2/1/2000 0:00,29.5,31,36,36,25,30,50
2/2/2000 0:00,22.8,,32,48.7,40,22.1,
2/3/2000 0:00,17.1,30,25,20.5,14,27,26
2/4/2000 0:00,23.5,,29,34.2,17,,
2/5/2000 0:00,41.6,20,48,18.8,15,17.2,42
2/6/2000 0:00,85.3,,,63.3,54,,
2/7/2000 0:00,32.1,25,44,87.7,69,36.2,66
2/8/2000 0:00,24.9,,29,37.5,17,26.4,
2/9/2000 0:00,17,13,29,26.9,15,22.1,44
2/10/2000 0:00,32.4,,47,40.9,25,25.8,
2/11/2000 0:00,37.4,28,53,52.1,48,,
2/12/2000 0:00,,,47,70.1,64,30.7,
2/13/2000 0:00,,13,,31.9,18,,51
2/14/2000 0:00,25.4,,39,20.9,11,35.6,
2/15/2000 0:00,29.7,20,48,45.2,17,36.8,47
2/16/2000 0:00,24.2,,39,41.8,25,35.6,
2/17/2000 0:00,24,24,45,51.5,38,44.1,41
2/18/2000 0:00,53,,75,55.6,44,,
2/19/2000 0:00,27.5,45,56,59.4,54,26.4,72
2/20/2000 0:00,20,,,41.3,28,,
2/21/2000 0:00,36.8,37,61,35.7,25,34.9,56
2/22/2000 0:00,48.7,,78,65.4,36,50.9,
2/23/2000 0:00,71.3,70,133,75.4,62,45.4,92
2/24/2000 0:00,32.8,,60,79.4,51,28.2,
2/25/2000 0:00,22.5,12,38,29.2,15,,57
2/26/2000 0:00,,,44,34,20,39.9,
2/27/2000 0:00,,24,,60,43,,
2/28/2000 0:00,44.6,,50,69.6,44,51.5,
2/29/2000 0:00,55.6,32,67,83.8,58,34.7,72
3/1/2000 0:00,29.9,21,35,51.2,33,26,67.4
3/2/2000 0:00,33.2,,37,32.1,26,22.3,
3/3/2000 0:00,16.1,17,26,36.5,22,,48.23
3/4/2000 0:00,17.8,,21,25.8,17,40.3,
3/5/2000 0:00,17.6,13,,16,15,,74.18
3/6/2000 0:00,32.4,,33,31.8,17,19.2,
3/7/2000 0:00,29.1,12,24,28.8,17,12.4,46.42
3/8/2000 0:00,4.7,,24,18.3,12,22.3,
3/9/2000 0:00,10.2,12,18,11,8,45.9,14.92
3/10/2000 0:00,17.8,,37,21,15,,
3/11/2000 0:00,,27,38,28,21,39.1,29.05
3/12/2000 0:00,,,,23.3,15,,
3/13/2000 0:00,35.8,34,55,47.5,47,29.8,87.35
3/14/2000 0:00,15.9,,38,36.4,29,,
3/15/2000 0:00,16,19,23,17.8,12,34.7,26.34
3/16/2000 0:00,20.5,,35,28,19,44.6,
3/17/2000 0:00,20.9,16,19,30.9,24,,36.88
3/18/2000 0:00,27,,41,20.5,12,23.6,
3/19/2000 0:00,27.7,27,,23.6,20,,41.44
3/20/2000 0:00,27.1,,43,39.6,29,42.8,
3/21/2000 0:00,30.7,30,48,50.8,37,47.7,69.88
3/22/2000 0:00,63.3,,77,61.5,45,47.1,
3/23/2000 0:00,91.2,25,57,74.9,56,40.9,82.58
3/24/2000 0:00,2.6,,38,50.6,32,,
3/25/2000 0:00,,55,67,61.8,46,55.2,140.65
3/26/2000 0:00,,,,56.7,41,,
3/27/2000 0:00,31.8,39,59,48.9,33,60.1,76.91
3/28/2000 0:00,65.1,,70,48.8,25,36,
3/29/2000 0:00,25.7,12,48,47.8,29,32.9,58.89
3/30/2000 0:00,21.5,,45,41.4,28,40.3,
3/31/2000 0:00,30.7,21,38,34.3,21,,35.2
4/1/2000 0:00,55.7,59,67,31,19,44,
4/2/2000 0:00,48.6,,,29.9,23,,
4/3/2000 0:00,45.8,21,35,51,32,47.7,60.98
4/4/2000 0:00,62.4,,80,62.2,45,47.7,
4/5/2000 0:00,45.9,20,51,46.3,31,37.2,42.06
4/6/2000 0:00,32.6,,49,24.2,21,24.8,
4/7/2000 0:00,19.6,19,37,32.5,23,,39.33
4/8/2000 0:00,,,46,23.9,16,22.9,
4/9/2000 0:00,,18,,38.4,31,,84.86
4/10/2000 0:00,,,40,55.7,36,41.5,
4/11/2000 0:00,,52,51,59.7,42,42.8,100.06
4/12/2000 0:00,,,26,44.6,27,25.4,
4/13/2000 0:00,,31,34,33.3,18,19.2,47.02
4/14/2000 0:00,34.7,,28,42.1,26,,
4/15/2000 0:00,27.8,38,48,57.1,39,24.8,132.08
4/16/2000 0:00,20.8,,,30.5,21,,
4/17/2000 0:00,40.4,45,86,48.8,33,29.1,87.65
4/18/2000 0:00,40.9,,63,51,37,55.2,
4/19/2000 0:00,51.8,43,82,84.8,53,79.4,141.8
4/20/2000 0:00,58.2,,78,68.1,51,75.9,
4/21/2000 0:00,,,110,57.6,45,,
4/22/2000 0:00,,,57,52.3,42,50.8,
4/23/2000 0:00,,,,31.7,33,,
4/24/2000 0:00,,,,40.7,30,,
4/25/2000 0:00,18.4,33,46,41.6,24,37.2,54.82
4/26/2000 0:00,51.1,,69,44.8,28,35.3,
4/27/2000 0:00,41.6,78,33,42.6,40,42.2,69.95
4/28/2000 0:00,,,39,40.4,30,,
4/29/2000 0:00,,,37,50.1,31,58.9,86.87
4/30/2000 0:00,,,,37.2,23,,
5/1/2000 0:00,,,,33.3,21,,63.47
5/2/2000 0:00,,,30,30.6,22,,
5/3/2000 0:00,,,30,29.8,19,,76.52
5/4/2000 0:00,55.1,,81,40.5,28,52.7,
5/5/2000 0:00,45.6,44,49,51.8,35,,80.98
5/6/2000 0:00,47.1,,32,52.2,44,54.6,
5/7/2000 0:00,38.4,38,,39.2,24,,66.73
5/8/2000 0:00,43.3,,40,48.8,26,42.8,
5/9/2000 0:00,50.9,46,53,56.2,38,55.2,79.45
5/10/2000 0:00,54.8,,61,46.9,31,68.8,
5/11/2000 0:00,38.2,32,43,45.2,35,71.3,64.79
5/12/2000 0:00,26.5,,26,34.8,23,,
5/13/2000 0:00,36.4,34,29,28.2,19,41.5,47.32
5/14/2000 0:00,33.2,,,30.9,19,,
5/15/2000 0:00,43.7,31,67,36.8,37,25.4,15.14
5/16/2000 0:00,39.8,,52,43.8,,57.7,
5/17/2000 0:00,35.4,17,64,44.4,,62,
