Kod stacji,DsJelw05,DsWrocWie,KpCiechoTezniowa,KpWloclSielska,KpWolice,LbBialaPOrzechowa,LbDorohWIOS,LbLublinPiel,LbLublin_Sliwins_5,LbZamoscHrubieszowsk,LdLodzWSSEMWodna40,MpKrakowWIOSAKra6117,MzWarszKrucza,PdLomzaKopernika16,PdSuwPulaski,WpPila5710111,ZpSzczWSSESped6
Wskaźnik,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
1/1/2002 0:00,15,,21.7,,4,,9.2,23,25.1,,,29.2,12.8,34.2,,,
1/2/2002 0:00,11,21.4,,,6.9,,13.1,22,20,,,19.1,20.1,,,22,62
1/3/2002 0:00,20,102.1,140.2,,6.2,61,21,84,30.8,88.3,,65.3,21.9,117.2,67.7,,31
1/4/2002 0:00,50,135.4,,,4.4,,25.8,84,64,123.8,,257,65.8,,,,
1/5/2002 0:00,33,36,53.2,,,48,16.7,84,76.9,129.6,,138.2,107.9,92,40.8,156,
1/6/2002 0:00,16,20.5,,,,,16.3,43,39.6,,,73.6,34.8,,,,
1/7/2002 0:00,7,41.2,39.2,32.5,24,43,26.7,62,32.3,,,93.3,76.8,99.1,31.4,65,89
1/8/2002 0:00,9,24.6,,,18.5,,18.2,50,47.9,,,88.3,27.4,,,,29
1/9/2002 0:00,17,45,36.2,26.5,28.7,19,18.2,30,24.9,,,85.8,29.3,66,24.1,28,7
1/10/2002 0:00,31,62.8,,,14.9,,24.1,29,30,,,120.4,40.2,,,,41
1/11/2002 0:00,24,92.5,54.3,,54.8,33,24.5,68,43.3,,,110.1,23.8,64,45,,
1/12/2002 0:00,19,,,,,,19.2,120,67.8,,,177.9,100.6,,,113,
1/13/2002 0:00,29,,54.5,,,27,9.9,57,79.4,39.8,,169.9,32.9,92,97.1,,
1/14/2002 0:00,37,61.5,,,40.7,,10.3,27,30.3,33.1,,72.1,80.5,,,65,88
1/15/2002 0:00,44,77.7,,110.4,62.1,26,16.3,54,39.5,51.9,,128.9,34.8,120,47.5,,65
1/16/2002 0:00,28,90.8,,,94.4,,15.2,59,55.4,,,195.1,122.6,,,64,109
1/17/2002 0:00,23,86.1,,54.1,56.7,50,14.1,69,55.6,,,114.2,64,215.6,139.8,,
1/18/2002 0:00,19,60.4,,,49.7,,22.4,80,56.6,,,141.2,87.8,,,,
1/19/2002 0:00,16,38.4,,,,,20,69,62,,,211.7,54.9,119,132.9,,
1/20/2002 0:00,9,19.4,,,,,16.3,26,33.8,,,66,58.5,,,,
