Kod stacji,MpKrakowWIOSBulw6118,MpKrakowWIOSPrad6115
Wskaźnik,PM2.5,PM2.5
Czas uśredniania,24g,24g
1/1/2002 0:00,,
1/2/2002 0:00,,
1/3/2002 0:00,,
1/4/2002 0:00,244.1,
1/5/2002 0:00,,
1/6/2002 0:00,,
1/7/2002 0:00,,
1/8/2002 0:00,,
1/9/2002 0:00,55.9,56.8
1/10/2002 0:00,,
1/11/2002 0:00,,
1/12/2002 0:00,,
1/13/2002 0:00,,
1/14/2002 0:00,41,37.5
1/15/2002 0:00,,
1/16/2002 0:00,,
1/17/2002 0:00,,
1/18/2002 0:00,,
1/19/2002 0:00,62.3,113.8
1/20/2002 0:00,,
1/21/2002 0:00,,
1/22/2002 0:00,,
1/23/2002 0:00,,
1/24/2002 0:00,79,74.9
1/25/2002 0:00,,
1/26/2002 0:00,,
1/27/2002 0:00,,
1/28/2002 0:00,,
1/29/2002 0:00,6,
1/30/2002 0:00,,
1/31/2002 0:00,,
2/1/2002 0:00,,
2/2/2002 0:00,,
2/3/2002 0:00,,
2/4/2002 0:00,,
2/5/2002 0:00,,
2/6/2002 0:00,,
2/7/2002 0:00,,
2/8/2002 0:00,34.3,31.5
2/9/2002 0:00,,
2/10/2002 0:00,,
2/11/2002 0:00,,
2/12/2002 0:00,,
2/13/2002 0:00,12.4,14.8
2/14/2002 0:00,,
2/15/2002 0:00,,
2/16/2002 0:00,,
2/17/2002 0:00,,
2/18/2002 0:00,137.5,107.6
2/19/2002 0:00,,
2/20/2002 0:00,,
2/21/2002 0:00,,
2/22/2002 0:00,,
2/23/2002 0:00,10.5,12.6
2/24/2002 0:00,,
2/25/2002 0:00,,
2/26/2002 0:00,,
2/27/2002 0:00,,
2/28/2002 0:00,23.3,
3/1/2002 0:00,,
3/2/2002 0:00,,
3/3/2002 0:00,,
3/4/2002 0:00,,
3/5/2002 0:00,112,
3/6/2002 0:00,,
3/7/2002 0:00,,
3/8/2002 0:00,,
3/9/2002 0:00,,
3/10/2002 0:00,,
3/11/2002 0:00,,
3/12/2002 0:00,,
3/13/2002 0:00,,
3/14/2002 0:00,,
3/15/2002 0:00,50.3,35.1
3/16/2002 0:00,,
3/17/2002 0:00,,
3/18/2002 0:00,,
3/19/2002 0:00,,
3/20/2002 0:00,22.2,19.5
3/21/2002 0:00,,
3/22/2002 0:00,,
3/23/2002 0:00,,
3/24/2002 0:00,,
3/25/2002 0:00,18.4,18.3
3/26/2002 0:00,,
3/27/2002 0:00,,
3/28/2002 0:00,,
3/29/2002 0:00,,
3/30/2002 0:00,100.5,94
3/31/2002 0:00,,
4/1/2002 0:00,,
4/2/2002 0:00,,
4/3/2002 0:00,,
4/4/2002 0:00,59.5,31.8
4/5/2002 0:00,,
4/6/2002 0:00,,
4/7/2002 0:00,,
4/8/2002 0:00,,
4/9/2002 0:00,66.5,53.4
4/10/2002 0:00,,
4/11/2002 0:00,,
4/12/2002 0:00,,
4/13/2002 0:00,,
4/14/2002 0:00,27,22.5
4/15/2002 0:00,,
4/16/2002 0:00,,
4/17/2002 0:00,,
4/18/2002 0:00,,
4/19/2002 0:00,54.2,41.5
4/20/2002 0:00,,
4/21/2002 0:00,,
4/22/2002 0:00,,
4/23/2002 0:00,,
4/24/2002 0:00,28.1,27.5
4/25/2002 0:00,,
4/26/2002 0:00,,
4/27/2002 0:00,,
4/28/2002 0:00,21.1,21.2
4/29/2002 0:00,,
4/30/2002 0:00,,
5/1/2002 0:00,,
5/2/2002 0:00,,
5/3/2002 0:00,,
5/4/2002 0:00,29.5,29.3
5/5/2002 0:00,,
5/6/2002 0:00,,
5/7/2002 0:00,,
5/8/2002 0:00,,
5/9/2002 0:00,25,20.5
5/10/2002 0:00,,
5/11/2002 0:00,,
5/12/2002 0:00,,
5/13/2002 0:00,,
5/14/2002 0:00,18.4,
5/15/2002 0:00,,
5/16/2002 0:00,,
5/17/2002 0:00,,
5/18/2002 0:00,,
5/19/2002 0:00,19.2,
5/20/2002 0:00,,
5/21/2002 0:00,,
5/22/2002 0:00,,
5/23/2002 0:00,,
5/24/2002 0:00,30,16.7
5/25/2002 0:00,,
5/26/2002 0:00,,
5/27/2002 0:00,,
5/28/2002 0:00,,
5/29/2002 0:00,17.1,16.7
5/30/2002 0:00,,
5/31/2002 0:00,,
6/1/2002 0:00,,
6/2/2002 0:00,,
6/3/2002 0:00,14.4,9.7
6/4/2002 0:00,,
6/5/2002 0:00,,
6/6/2002 0:00,,
6/7/2002 0:00,,
6/8/2002 0:00,13,12
6/9/2002 0:00,,
6/10/2002 0:00,,
6/11/2002 0:00,,
6/12/2002 0:00,,
6/13/2002 0:00,22.9,23
6/14/2002 0:00,,
6/15/2002 0:00,,
6/16/2002 0:00,,
6/17/2002 0:00,,
6/18/2002 0:00,27.9,25.2
6/19/2002 0:00,,
6/20/2002 0:00,,
6/21/2002 0:00,,
6/22/2002 0:00,,
6/23/2002 0:00,21.9,19.5
6/24/2002 0:00,,
6/25/2002 0:00,,
6/26/2002 0:00,,
6/27/2002 0:00,,
6/28/2002 0:00,20.6,21.8
6/29/2002 0:00,,
6/30/2002 0:00,,
7/1/2002 0:00,,
7/2/2002 0:00,,
7/3/2002 0:00,25.6,31.6
7/4/2002 0:00,,
7/5/2002 0:00,,
7/6/2002 0:00,,
7/7/2002 0:00,,
7/8/2002 0:00,26.3,
7/9/2002 0:00,,
7/10/2002 0:00,,
7/11/2002 0:00,,
7/12/2002 0:00,,
7/13/2002 0:00,38,24
7/14/2002 0:00,,
7/15/2002 0:00,,
7/16/2002 0:00,,
7/17/2002 0:00,,
7/18/2002 0:00,26.9,20.5
7/19/2002 0:00,,
7/20/2002 0:00,,
7/21/2002 0:00,,
7/22/2002 0:00,,
7/23/2002 0:00,25.3,30.9
7/24/2002 0:00,,
7/25/2002 0:00,,
7/26/2002 0:00,,
7/27/2002 0:00,,
7/28/2002 0:00,41.8,38.2
7/29/2002 0:00,,
7/30/2002 0:00,,
7/31/2002 0:00,,
8/1/2002 0:00,,
8/2/2002 0:00,31.8,26.5
8/3/2002 0:00,,
8/4/2002 0:00,,
8/5/2002 0:00,,
8/6/2002 0:00,,
8/7/2002 0:00,53.1,34.2
8/8/2002 0:00,,
8/9/2002 0:00,,
8/10/2002 0:00,,
8/11/2002 0:00,,
8/12/2002 0:00,25.6,25.9
8/13/2002 0:00,,
8/14/2002 0:00,,
8/15/2002 0:00,,
8/16/2002 0:00,,
8/17/2002 0:00,39,37.3
8/18/2002 0:00,,
8/19/2002 0:00,,
8/20/2002 0:00,,
8/21/2002 0:00,,
8/22/2002 0:00,62.3,56.4
8/23/2002 0:00,,
8/24/2002 0:00,,
8/25/2002 0:00,,
8/26/2002 0:00,,
8/27/2002 0:00,81.7,69.1
8/28/2002 0:00,,
8/29/2002 0:00,,
8/30/2002 0:00,,
8/31/2002 0:00,,
9/1/2002 0:00,44,39.5
9/2/2002 0:00,,
9/3/2002 0:00,,
9/4/2002 0:00,,
9/5/2002 0:00,,
9/6/2002 0:00,29.4,26.2
9/7/2002 0:00,,
9/8/2002 0:00,,
9/9/2002 0:00,,
9/10/2002 0:00,,
9/11/2002 0:00,60.8,60.9
9/12/2002 0:00,,
9/13/2002 0:00,,
9/14/2002 0:00,,
9/15/2002 0:00,,
9/16/2002 0:00,13.2,12.3
9/17/2002 0:00,,
9/18/2002 0:00,,
9/19/2002 0:00,,
9/20/2002 0:00,,
9/21/2002 0:00,39,38.7
9/22/2002 0:00,,
9/23/2002 0:00,,
9/24/2002 0:00,,
9/25/2002 0:00,,
9/26/2002 0:00,42.9,41.2
9/27/2002 0:00,,
9/28/2002 0:00,,
9/29/2002 0:00,,
9/30/2002 0:00,,
10/1/2002 0:00,91.3,62.6
10/2/2002 0:00,,
10/3/2002 0:00,,
10/4/2002 0:00,,
10/5/2002 0:00,,
10/6/2002 0:00,23.9,
10/7/2002 0:00,,
10/8/2002 0:00,,
10/9/2002 0:00,,
10/10/2002 0:00,,
10/11/2002 0:00,50.2,20.3
10/12/2002 0:00,,
10/13/2002 0:00,,
10/14/2002 0:00,,
10/15/2002 0:00,,
10/16/2002 0:00,59,64.8
10/17/2002 0:00,,
10/18/2002 0:00,,
10/19/2002 0:00,,
10/20/2002 0:00,,
10/21/2002 0:00,68.3,52.3
10/22/2002 0:00,,
