Kod stacji,DsBialka,DsGlogNorwArch,DsJelw05,DsJgGrottgeraPM,DsJgGrottgeraPMArch,DsLegMick,DsLegRzeczA,DsLegSmok,DsLegZlotor,DsLubinMaj,DsNRudaSrebPArch,DsPolkKasz,DsSwidRynek,DsSwidRynekArch,DsWalbWysPArch,DsWrocWie,KpBydgUjejskiego,KpBydgWPola,KpCiechoTezniowa,KpInowrSolan,KpKoniczZMSP,KpTorunDziewulsk,KpTorunLotnisko,KpWloclLady,KpWloclSielska,KpWolice,LbBialaPOrzechowa,LbBialaPPl.TrzechKrzyzy,LbChelmSzpWSSE,LbDorohWIOS,LbLublinOgrod,LbLublinPiel,LbLublin_Sliwins_5,LbPulawySkowieszynska,LbZamoscHrubieszowsk,LbZamoscWSSE,LdKutnoWIOSMWilcza,LdLodzWIOSACzernik,LdLodzWIOSARubinst,LdLodzWSSEMLegiono,LdLodzWSSEMRudzka,LdLodzWSSEMWodna40,LdPabianWIOSAKonstan,LdRadomsWSSEMZeromsk,LdSieradWSSEMGrunwal,LdSkiernWSSEMReymont,LdZgierzWSSEMStRynek,MpBochniWSSEKons0105,MpChrzanWSSEGrzy0301,MpKrakowWIOSAKra6117,MpKrakowWIOSBulw6118,MpKrakowWSSEPrad6102,MpMyslenWIOSRyne0905,MpNoTargWSSESzaf1102,MpNSaczWIOSPija6204,MpNSaczWSSETarn6202,MpOswiecWSSEWiez1301,MpTarnowWSSEMosc6301,MpTarnowWSSEWest6302,MpTrzebiWIOSPils0303,MpWielicWIOSNiep1904,MzCiechStrazacka,MzLegionBronWSSE,MzLegionZegIMGW,MzNowDwChemWSSE,MzOstMazSikorWSSE,MzOstrolTargowa,MzOtwockBrzozWSSE,MzPiaseczDworWSSE,MzPiastowPulask,MzPlockKolegWSSE,MzPruszKraszeWSSE,MzRadomCz,MzSochPlocWSSE,MzTluszczJKiel,MzWarszAKrzywon,MzWarszBernWoda,MzWarszBorKomWSSE,MzWarszKrucza,MzWarszSGGW,MzWarszZelazWSSE,MzWarZeganWSSE,MzWolOgrodowa,OpBrzeg101,OpKkozle243,OpKlucz227,OpOpole246,OpPrud189p,PdBialyLegionowa8,PdLomzaKopernika16,PdLomzaSikorskiego,PdSuwPulaski,PkJasloWIOSFlor,PkPrzemWIOSPDom,PkRzeszWSSEPilsud,Pm.00.s481m,Pm.06.s712m,Pm.15.s129m,Pm.63.s079m,Pm.63.wDSMm,SkChecBiaZag,SkKielJagiel,SkOzarowMiec,SkOzarowOsWz,SkPolanTrzc,WmDzialdWSSE_Biedraw,WmElblagWSSE_Krole,WmOlsztyWSSE_Zolnier,WpGnieznoPM10,WpKonin31018,WpLeszno411000,WpOstrowWlkpPM10,WpPila5710111,WpPoznan63117,WpPoznanPM10szpital,WpPoznanSzymanowskiego17,WpWKP008,ZpGryfWiduchowa003,ZpKoszalinWSSE,ZpSwinoujscieWSSE,ZpSzczecinWSSE
Wskaźnik,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
1/1/2004 0:00,,,7.667,,,15,,,,,,,27,27,,,,,42,,,12,,,,5.8,,,,,,18,15,12,,,,,27.583,,,,,35,10,10,36,19,32,35.182,,,,,21.435,36,46,,,,,,,46,,,,10,16,38,,,21,,,14,4,,15,,16,14,,,,,,,44,22.7,,,,,,14,29,39,16,,14,16,,,,11.5,,9.8,,,,,,,,,,14.4,,,
1/2/2004 0:00,,,5.875,,,,,,,7,,,24,24,,,,,,,,5,,,,6.9,,,102,,,17,16,8,,,21,,18.417,,,24,,30,14,10,34,33,37,38.708,,6,,,34.958,30,40,8,6,,,,,22,,,,17,13,18,,,22,,,14,5,,11,,11,13,,,,,,,14,,,,,,,8,12,30,17,,21,9,,,,13.9,3,5.3,,,,,,,,,,29.9,,,
1/3/2004 0:00,,,4.417,,,26,,,,,,,33,33,,,,,45,,,14,,,,,23,,10,12,,24,14,6,,,79,,36.625,,,56,,68,52,51,165,24,36,38.762,,16,,,27.458,29,40,,16,,,52,,29,,,,29,32,38,,,41,,,28,5,,29,,18,30,,,,,,58,10,36.6,,,,,,5,70,56,57,,9,11,,,,24,,29.3,,,,,,62,,,,34.5,,,
1/4/2004 0:00,,,9.875,,,,,,,75,,,,,,,,,,,,53,,,,,,,35,,,60,38,35,,,116,,64.917,,,,,192,102,83,148,39,62,52.583,,25,,,41.708,65,73,,25,,,47,,31,,,,64,39,24,,,72,,,47,5,,37,,46,36,,,,,,,9,,,,,,,111,,78,64,,44,40,,,,81.6,131,40.7,,,,,,112,,,,30,,,
1/5/2004 0:00,87.1,,25.333,,,89,,101.2,85.7,,,,,,,122,82,,52,22,,33,53,,,30.5,19,,20,12,,43,31,31,23,,178,,81.708,,,,,125,77,65,,89,128,114.75,,54,,,91.708,76,196,,54,,,59,,16,,,,74,45,9,,,61,,,23,4,,24,,36,39,,,,,,,18,49.7,,,50,98,30,96,217,145,91,,64,56,35,34,71,55.8,,41.1,,82,42,,112,,,,,49.7,,41,
1/6/2004 0:00,34.5,,29.833,,,,,21.3,34.3,42,,,95,95,,98,,,,68,,46,48,,,24,35,,27,,,31,27,35,27,,88,61,85.5,,67,56,,41,40,53,93,164,105,115.87,,56,,,121.292,151,135,58,56,,,126,,,,,,13,39,,,,55,,,41,4,,37,,78,40,,,,,,,43,,,,58,76,37,63,47,61,56,,47,47,26,30,36,136.6,,12.9,,,,,106,57,,,,64.9,,19,
1/7/2004 0:00,25.6,,6.417,,,41,,41.5,33.5,,,,37,37,,119,18,,43,38,,23,27,,55,35.2,13,,37,14,,26,41,23,25,,85,36,50.75,,68,52,,48,56,41,63,153,80,114.875,,35,,,219.833,204,,0,35,,,,,,,,42,45,42,,,,,,,30,5,,18,57.9,63,34,,,,,,,36,92.3,,,63,87,29,47,66,60,33,,33,34,27,41,54,44.9,7,19.4,,,57,,127,89,,,,17.5,,16,
1/8/2004 0:00,56.2,,11.208,,,,,32.9,48.4,78,,,88,88,,163,17,,,16,,33,39,,,27.2,8,,46,,,23,19,18,24,,68,34,60.042,,66,51,,41,54,29,,130,61,113.417,,59,,,241.542,211,94,,59,,,,17,,,46,32,32,44,,,,,,,38,5,,77,28.1,48,42,,130,,,,33,63,,,,,,117,,70,26,58,,24,47,18,34,69,42.5,,7.5,,,108,,124,,,,,6.7,,55,
