Kod stacji,LdLodzWSSEMLegiono
Wskaźnik,PM2.5
Czas uśredniania,24g
1/1/2004 0:00,
1/2/2004 0:00,
1/3/2004 0:00,
1/4/2004 0:00,
1/5/2004 0:00,
1/6/2004 0:00,
1/7/2004 0:00,
1/8/2004 0:00,
1/9/2004 0:00,
1/10/2004 0:00,
1/11/2004 0:00,
1/12/2004 0:00,
1/13/2004 0:00,
1/14/2004 0:00,
1/15/2004 0:00,
1/16/2004 0:00,
1/17/2004 0:00,
1/18/2004 0:00,
1/19/2004 0:00,
1/20/2004 0:00,
1/21/2004 0:00,
1/22/2004 0:00,
1/23/2004 0:00,
1/24/2004 0:00,
1/25/2004 0:00,
1/26/2004 0:00,
1/27/2004 0:00,
1/28/2004 0:00,
1/29/2004 0:00,
1/30/2004 0:00,
1/31/2004 0:00,
2/1/2004 0:00,
2/2/2004 0:00,
2/3/2004 0:00,
2/4/2004 0:00,24
2/5/2004 0:00,22
2/6/2004 0:00,26
2/7/2004 0:00,13
2/8/2004 0:00,18
2/9/2004 0:00,18
2/10/2004 0:00,27
2/11/2004 0:00,41
2/12/2004 0:00,49
2/13/2004 0:00,88
2/14/2004 0:00,25
2/15/2004 0:00,27
2/16/2004 0:00,33
2/17/2004 0:00,33
2/18/2004 0:00,23
2/19/2004 0:00,38
2/20/2004 0:00,
2/21/2004 0:00,
2/22/2004 0:00,
2/23/2004 0:00,
2/24/2004 0:00,
2/25/2004 0:00,
2/26/2004 0:00,
2/27/2004 0:00,
2/28/2004 0:00,
2/29/2004 0:00,
3/1/2004 0:00,
3/2/2004 0:00,
3/3/2004 0:00,
3/4/2004 0:00,
3/5/2004 0:00,
3/6/2004 0:00,
3/7/2004 0:00,
3/8/2004 0:00,
3/9/2004 0:00,
3/10/2004 0:00,
3/11/2004 0:00,
3/12/2004 0:00,
3/13/2004 0:00,
3/14/2004 0:00,
3/15/2004 0:00,43
3/16/2004 0:00,33
3/17/2004 0:00,54
3/18/2004 0:00,21
3/19/2004 0:00,22
3/20/2004 0:00,61
3/21/2004 0:00,46
3/22/2004 0:00,14
3/23/2004 0:00,14
3/24/2004 0:00,21
3/25/2004 0:00,27
3/26/2004 0:00,24
3/27/2004 0:00,39
3/28/2004 0:00,36
3/29/2004 0:00,52
3/30/2004 0:00,44
3/31/2004 0:00,37
4/1/2004 0:00,21
4/2/2004 0:00,25
4/3/2004 0:00,32
4/4/2004 0:00,24
4/5/2004 0:00,23
4/6/2004 0:00,20
4/7/2004 0:00,20
4/8/2004 0:00,25
4/9/2004 0:00,27
4/10/2004 0:00,33
4/11/2004 0:00,26
4/12/2004 0:00,18
4/13/2004 0:00,16
4/14/2004 0:00,17
4/15/2004 0:00,29
4/16/2004 0:00,25
4/17/2004 0:00,20
4/18/2004 0:00,19
4/19/2004 0:00,25
4/20/2004 0:00,26
4/21/2004 0:00,33
4/22/2004 0:00,32
4/23/2004 0:00,20
4/24/2004 0:00,18
4/25/2004 0:00,24
4/26/2004 0:00,27
4/27/2004 0:00,23
4/28/2004 0:00,24
4/29/2004 0:00,19
4/30/2004 0:00,16
5/1/2004 0:00,20
5/2/2004 0:00,21
5/3/2004 0:00,17
5/4/2004 0:00,17
5/5/2004 0:00,16
5/6/2004 0:00,13
5/7/2004 0:00,11
5/8/2004 0:00,12
5/9/2004 0:00,10
5/10/2004 0:00,16
5/11/2004 0:00,20
5/12/2004 0:00,23
5/13/2004 0:00,11
5/14/2004 0:00,18
5/15/2004 0:00,11
5/16/2004 0:00,19
5/17/2004 0:00,23
5/18/2004 0:00,18
5/19/2004 0:00,14
5/20/2004 0:00,15
5/21/2004 0:00,9
5/22/2004 0:00,12
5/23/2004 0:00,9
5/24/2004 0:00,10
5/25/2004 0:00,10
5/26/2004 0:00,12
5/27/2004 0:00,
5/28/2004 0:00,15
5/29/2004 0:00,19
5/30/2004 0:00,10
5/31/2004 0:00,10
6/1/2004 0:00,10
6/2/2004 0:00,10
6/3/2004 0:00,10
6/4/2004 0:00,14
6/5/2004 0:00,18
6/6/2004 0:00,13
6/7/2004 0:00,14
6/8/2004 0:00,15
6/9/2004 0:00,11
6/10/2004 0:00,19
6/11/2004 0:00,17
6/12/2004 0:00,11
6/13/2004 0:00,11
6/14/2004 0:00,13
6/15/2004 0:00,11
6/16/2004 0:00,10
6/17/2004 0:00,10
6/18/2004 0:00,10
6/19/2004 0:00,11
6/20/2004 0:00,9
6/21/2004 0:00,13
6/22/2004 0:00,12
6/23/2004 0:00,15
6/24/2004 0:00,12
6/25/2004 0:00,12
6/26/2004 0:00,9
6/27/2004 0:00,11
6/28/2004 0:00,10
6/29/2004 0:00,11
6/30/2004 0:00,12
7/1/2004 0:00,13
7/2/2004 0:00,11
7/3/2004 0:00,9
7/4/2004 0:00,10
7/5/2004 0:00,10
7/6/2004 0:00,11
7/7/2004 0:00,10
7/8/2004 0:00,
7/9/2004 0:00,13
7/10/2004 0:00,9
7/11/2004 0:00,9
7/12/2004 0:00,9
7/13/2004 0:00,9
7/14/2004 0:00,12
7/15/2004 0:00,15
7/16/2004 0:00,18
7/17/2004 0:00,12
7/18/2004 0:00,15
7/19/2004 0:00,16
7/20/2004 0:00,13
7/21/2004 0:00,24
