Kod stacji,LdLodzWSSEMLegiono,SlCzestCzes_rzasa
Wskaźnik,PM2.5,PM2.5
Czas uśredniania,24g,24g
1/1/2005 0:00,25,
1/2/2005 0:00,14,
1/3/2005 0:00,16,
1/4/2005 0:00,14,
1/5/2005 0:00,23,
1/6/2005 0:00,20,
1/7/2005 0:00,23,
1/8/2005 0:00,13,
1/9/2005 0:00,14,
1/10/2005 0:00,22,
1/11/2005 0:00,35,
1/12/2005 0:00,33,
1/13/2005 0:00,21,
1/14/2005 0:00,17,
1/15/2005 0:00,29,
1/16/2005 0:00,41,
1/17/2005 0:00,38,
1/18/2005 0:00,42,
1/19/2005 0:00,43,
1/20/2005 0:00,18,65.6
1/21/2005 0:00,16,52.5
1/22/2005 0:00,20,22.1
1/23/2005 0:00,31,
1/24/2005 0:00,54,
1/25/2005 0:00,33,
1/26/2005 0:00,24,
1/27/2005 0:00,42,
1/28/2005 0:00,68,
1/29/2005 0:00,42,
1/30/2005 0:00,46,
1/31/2005 0:00,25,
2/1/2005 0:00,27,
2/2/2005 0:00,38,
2/3/2005 0:00,46,
2/4/2005 0:00,37,
2/5/2005 0:00,48,
2/6/2005 0:00,42,
2/7/2005 0:00,56,
2/8/2005 0:00,82,
2/9/2005 0:00,105,
2/10/2005 0:00,70,
2/11/2005 0:00,62,
2/12/2005 0:00,36,64.7
2/13/2005 0:00,21,64.7
2/14/2005 0:00,30,17.6
2/15/2005 0:00,27,17.6
2/16/2005 0:00,27,
2/17/2005 0:00,29,
2/18/2005 0:00,40,23.4
2/19/2005 0:00,58,23.4
2/20/2005 0:00,60,46.2
2/21/2005 0:00,61,46.2
2/22/2005 0:00,29,
2/23/2005 0:00,32,
2/24/2005 0:00,30,35.6
2/25/2005 0:00,57,35.6
2/26/2005 0:00,36,24.8
2/27/2005 0:00,36,24.8
2/28/2005 0:00,33,82.9
3/1/2005 0:00,38,30.8
3/2/2005 0:00,38,29.9
3/3/2005 0:00,68,106.4
3/4/2005 0:00,100,
3/5/2005 0:00,56,
3/6/2005 0:00,26,
3/7/2005 0:00,29,
3/8/2005 0:00,26,
3/9/2005 0:00,24,
3/10/2005 0:00,26,
3/11/2005 0:00,27,
3/12/2005 0:00,23,
3/13/2005 0:00,29,
3/14/2005 0:00,44,
3/15/2005 0:00,48,
3/16/2005 0:00,43,
3/17/2005 0:00,20,
3/18/2005 0:00,15,
3/19/2005 0:00,18,
3/20/2005 0:00,18,
3/21/2005 0:00,31,
3/22/2005 0:00,43,
3/23/2005 0:00,66,
3/24/2005 0:00,58,
3/25/2005 0:00,41,
3/26/2005 0:00,36,
3/27/2005 0:00,19,
3/28/2005 0:00,20,
3/29/2005 0:00,26,
3/30/2005 0:00,29,
3/31/2005 0:00,31,
4/1/2005 0:00,55,102.6
4/2/2005 0:00,59,81.1
4/3/2005 0:00,41,51.9
4/4/2005 0:00,38,
4/5/2005 0:00,24,71.3
4/6/2005 0:00,29,
4/7/2005 0:00,38,53
4/8/2005 0:00,19,99.2
4/9/2005 0:00,13,
4/10/2005 0:00,,27.2
4/11/2005 0:00,,57
4/12/2005 0:00,29,50.1
4/13/2005 0:00,44,39.1
4/14/2005 0:00,35,20.1
4/15/2005 0:00,28,15.1
4/16/2005 0:00,42,70.5
4/17/2005 0:00,21,19.7
4/18/2005 0:00,19,139.6
4/19/2005 0:00,17,
4/20/2005 0:00,17,19.9
4/21/2005 0:00,28,72.2
4/22/2005 0:00,35,46.4
4/23/2005 0:00,23,
4/24/2005 0:00,20,29.3
4/25/2005 0:00,24,43.3
4/26/2005 0:00,27,52.9
4/27/2005 0:00,22,
4/28/2005 0:00,20,
4/29/2005 0:00,37,
4/30/2005 0:00,24,
5/1/2005 0:00,31,
5/2/2005 0:00,15,
5/3/2005 0:00,17,
5/4/2005 0:00,11,77.6
5/5/2005 0:00,14,38.9
5/6/2005 0:00,12,49.4
5/7/2005 0:00,13,27.2
5/8/2005 0:00,9,12.9
5/9/2005 0:00,13,97.8
5/10/2005 0:00,15,112.7
5/11/2005 0:00,13,9.2
5/12/2005 0:00,17,35.4
5/13/2005 0:00,18,28.9
5/14/2005 0:00,12,58
5/15/2005 0:00,14,25
5/16/2005 0:00,12,
5/17/2005 0:00,16,9.6
5/18/2005 0:00,13,27.6
5/19/2005 0:00,14,
5/20/2005 0:00,,20.5
5/21/2005 0:00,,0.1
5/22/2005 0:00,,11.1
5/23/2005 0:00,,
5/24/2005 0:00,,2.7
5/25/2005 0:00,,0.6
5/26/2005 0:00,,9
5/27/2005 0:00,,30.8
5/28/2005 0:00,,22.5
5/29/2005 0:00,,36.2
5/30/2005 0:00,,56.4
5/31/2005 0:00,,46.4
6/1/2005 0:00,,
6/2/2005 0:00,,32.5
6/3/2005 0:00,,
6/4/2005 0:00,,9.4
6/5/2005 0:00,,13.5
6/6/2005 0:00,,14.2
6/7/2005 0:00,,15.8
6/8/2005 0:00,,
6/9/2005 0:00,,13.4
6/10/2005 0:00,,14
6/11/2005 0:00,,0.3
6/12/2005 0:00,,40.7
6/13/2005 0:00,,21.7
6/14/2005 0:00,,20
6/15/2005 0:00,,21
6/16/2005 0:00,,19.5
6/17/2005 0:00,,13.8
6/18/2005 0:00,,5.8
6/19/2005 0:00,,8.1
6/20/2005 0:00,,10
6/21/2005 0:00,,18.2
6/22/2005 0:00,,15.5
6/23/2005 0:00,,16.7
6/24/2005 0:00,,18.9
6/25/2005 0:00,,17.3
6/26/2005 0:00,,10.5
6/27/2005 0:00,,15.7
6/28/2005 0:00,,
6/29/2005 0:00,,6
6/30/2005 0:00,,35.9
7/1/2005 0:00,,
7/2/2005 0:00,,20.1
7/3/2005 0:00,,2.7
7/4/2005 0:00,,17.7
7/5/2005 0:00,,29.3
7/6/2005 0:00,,40.5
7/7/2005 0:00,,28.7
7/8/2005 0:00,,25.4
7/9/2005 0:00,,3.2
7/10/2005 0:00,,69.3
7/11/2005 0:00,,16.7
7/12/2005 0:00,,14.3
7/13/2005 0:00,,14.6
7/14/2005 0:00,,23
7/15/2005 0:00,11,26.6
7/16/2005 0:00,9,14.4
7/17/2005 0:00,6,10.2
7/18/2005 0:00,9,19.1
7/19/2005 0:00,13,17.7
7/20/2005 0:00,7,10.6
7/21/2005 0:00,4,8
7/22/2005 0:00,4,5
7/23/2005 0:00,4,
7/24/2005 0:00,7,
7/25/2005 0:00,9,
7/26/2005 0:00,8,16
7/27/2005 0:00,10,20.6
7/28/2005 0:00,11,33.1
7/29/2005 0:00,11,30.3
7/30/2005 0:00,9,20.1
7/31/2005 0:00,6,6.6
8/1/2005 0:00,7,11.7
8/2/2005 0:00,8,13.7
8/3/2005 0:00,9,19.5
8/4/2005 0:00,7,7.3
8/5/2005 0:00,8,14.3
8/6/2005 0:00,6,11.2
8/7/2005 0:00,5,8.5
8/8/2005 0:00,6,5.4
8/9/2005 0:00,5,7.5
8/10/2005 0:00,6,10.5
8/11/2005 0:00,5,14.4
8/12/2005 0:00,10,19
8/13/2005 0:00,6,12.9
8/14/2005 0:00,4,12.7
8/15/2005 0:00,6,12.4
8/16/2005 0:00,10,15
8/17/2005 0:00,7,16.9
8/18/2005 0:00,6,28.5
8/19/2005 0:00,7,11.1
8/20/2005 0:00,7,13.2
8/21/2005 0:00,10,16.5
8/22/2005 0:00,11,19.6
8/23/2005 0:00,18,27.7
8/24/2005 0:00,16,35.3
8/25/2005 0:00,14,28.5
8/26/2005 0:00,7,16.9
8/27/2005 0:00,7,22.3
8/28/2005 0:00,12,24.6
8/29/2005 0:00,16,38.7
8/30/2005 0:00,12,30.7
8/31/2005 0:00,7,18
9/1/2005 0:00,6,14.5
9/2/2005 0:00,8,24.5
9/3/2005 0:00,12,35.3
9/4/2005 0:00,17,26.8
9/5/2005 0:00,18,
9/6/2005 0:00,14,
9/7/2005 0:00,16,27.9
9/8/2005 0:00,16,31.9
9/9/2005 0:00,15,26.4
9/10/2005 0:00,13,36.3
9/11/2005 0:00,16,25.3
9/12/2005 0:00,10,19.2
9/13/2005 0:00,12,23.7
9/14/2005 0:00,10,22.2
9/15/2005 0:00,9,22.8
9/16/2005 0:00,4,15.5
9/17/2005 0:00,6,22.6
9/18/2005 0:00,6,16.2
9/19/2005 0:00,10,23.9
9/20/2005 0:00,10,43.1
9/21/2005 0:00,10,45.3
9/22/2005 0:00,9,28.8
