Kod stacji,LdLodzWSSEMLegiono,Pm.63.wDSMm,SlZabrzZabr_sklod
Wskaźnik,PM2.5,PM2.5,PM2.5
Czas uśredniania,24g,24g,24g
1/1/2006 0:00,34,,
1/2/2006 0:00,28,80,
1/3/2006 0:00,25,25,
1/4/2006 0:00,23,13,
1/5/2006 0:00,16,11,
1/6/2006 0:00,18,12,
1/7/2006 0:00,29,24,
1/8/2006 0:00,41,34,
1/9/2006 0:00,49,54,
1/10/2006 0:00,76,60,
1/11/2006 0:00,94,32,
1/12/2006 0:00,39,17,
1/13/2006 0:00,32,23,
1/14/2006 0:00,31,47,
1/15/2006 0:00,48,69,
1/16/2006 0:00,79,83,
1/17/2006 0:00,46,79,
1/18/2006 0:00,34,35,
1/19/2006 0:00,37,22,
1/20/2006 0:00,42,41,
1/21/2006 0:00,40,24,
1/22/2006 0:00,45,47,
1/23/2006 0:00,77,69,
1/24/2006 0:00,66,72,
1/25/2006 0:00,64,103,
1/26/2006 0:00,84,98,
1/27/2006 0:00,106,103,
1/28/2006 0:00,93,55,
1/29/2006 0:00,78,23,
1/30/2006 0:00,32,16,
1/31/2006 0:00,24,19,
2/1/2006 0:00,28,17,
2/2/2006 0:00,28,18,
2/3/2006 0:00,,14,
2/4/2006 0:00,,39,
2/5/2006 0:00,,45,
2/6/2006 0:00,,19,
2/7/2006 0:00,,21,
2/8/2006 0:00,,16,
2/9/2006 0:00,,19,
2/10/2006 0:00,,30,
2/11/2006 0:00,,18,
2/12/2006 0:00,,17,
2/13/2006 0:00,,32,
2/14/2006 0:00,42,22,
2/15/2006 0:00,35,38,
2/16/2006 0:00,39,56,
2/17/2006 0:00,46,79,
2/18/2006 0:00,40,44,
2/19/2006 0:00,42,40,
2/20/2006 0:00,34,39,
2/21/2006 0:00,22,20,
2/22/2006 0:00,22,24,
2/23/2006 0:00,32,32,
2/24/2006 0:00,18,27,
2/25/2006 0:00,32,19,
2/26/2006 0:00,38,31,
2/27/2006 0:00,35,23,
2/28/2006 0:00,33,41,
3/1/2006 0:00,,50,
3/2/2006 0:00,31,26,
3/3/2006 0:00,34,37,
3/4/2006 0:00,44,28,
3/5/2006 0:00,38,22,
3/6/2006 0:00,35,34,
3/7/2006 0:00,59,39,
3/8/2006 0:00,39,42,
3/9/2006 0:00,37,56,
3/10/2006 0:00,50,31,
3/11/2006 0:00,28,33,
3/12/2006 0:00,20,25,
3/13/2006 0:00,24,20,
3/14/2006 0:00,31,30,
3/15/2006 0:00,32,25,
3/16/2006 0:00,30,25,
3/17/2006 0:00,31,23,
3/18/2006 0:00,36,26,
3/19/2006 0:00,26,29,
3/20/2006 0:00,21,13,
3/21/2006 0:00,25,19,
3/22/2006 0:00,54,26,
3/23/2006 0:00,44,25,
3/24/2006 0:00,,27,
3/25/2006 0:00,44,22,
3/26/2006 0:00,33,36,
3/27/2006 0:00,27,23,
3/28/2006 0:00,25,14,
3/29/2006 0:00,28,20,
3/30/2006 0:00,20,16,
