Kod stacji,KpBydgWarszawska,ZpSzczecin002
Wskaźnik,PM2.5,PM2.5
Czas uśredniania,1g,1g
1/1/2007 1:00,,17
1/1/2007 2:00,,22
1/1/2007 3:00,,37
1/1/2007 4:00,,31
1/1/2007 5:00,,22
1/1/2007 6:00,,18
1/1/2007 7:00,,14
1/1/2007 8:00,,15
1/1/2007 9:00,,10
1/1/2007 10:00,,6
1/1/2007 11:00,,5
1/1/2007 12:00,,3
1/1/2007 13:00,,4
1/1/2007 14:00,,4
1/1/2007 15:00,,4
1/1/2007 16:00,,15
1/1/2007 17:00,,14
1/1/2007 18:00,,14
1/1/2007 19:00,,17
1/1/2007 20:00,,21
1/1/2007 21:00,,25
1/1/2007 22:00,,20
1/1/2007 23:00,,20
1/2/2007 0:00,,14
1/2/2007 1:00,,8
1/2/2007 2:00,,9
1/2/2007 3:00,,7
1/2/2007 4:00,,15
1/2/2007 5:00,,10
1/2/2007 6:00,,9
1/2/2007 7:00,,23
1/2/2007 8:00,,14
1/2/2007 9:00,,8
1/2/2007 10:00,,6
1/2/2007 11:00,,16
1/2/2007 12:00,,11
1/2/2007 13:00,,16
1/2/2007 14:00,,11
1/2/2007 15:00,,22
1/2/2007 16:00,,21
1/2/2007 17:00,,18
1/2/2007 18:00,,28
1/2/2007 19:00,,30
1/2/2007 20:00,,27
1/2/2007 21:00,,19
1/2/2007 22:00,,26
1/2/2007 23:00,,26
1/3/2007 0:00,,14
1/3/2007 1:00,,16
1/3/2007 2:00,,11
1/3/2007 3:00,,20
1/3/2007 4:00,,16
1/3/2007 5:00,,10
1/3/2007 6:00,,7
1/3/2007 7:00,,5
1/3/2007 8:00,,10
1/3/2007 9:00,,11
1/3/2007 10:00,,11
1/3/2007 11:00,,11
1/3/2007 12:00,,12
1/3/2007 13:00,,22
1/3/2007 14:00,,23
1/3/2007 15:00,,17
1/3/2007 16:00,,30
1/3/2007 17:00,,25
1/3/2007 18:00,,30
1/3/2007 19:00,,28
1/3/2007 20:00,,22
1/3/2007 21:00,,29
1/3/2007 22:00,,21
1/3/2007 23:00,,17
1/4/2007 0:00,,15
1/4/2007 1:00,,9
1/4/2007 2:00,,6
1/4/2007 3:00,,10
1/4/2007 4:00,,6
1/4/2007 5:00,,5
1/4/2007 6:00,,7
1/4/2007 7:00,,6
1/4/2007 8:00,,5
1/4/2007 9:00,,5
1/4/2007 10:00,,11
1/4/2007 11:00,,19
1/4/2007 12:00,,17
1/4/2007 13:00,,23
1/4/2007 14:00,,20
1/4/2007 15:00,,13
1/4/2007 16:00,,18
1/4/2007 17:00,,11
1/4/2007 18:00,,15
1/4/2007 19:00,,14
1/4/2007 20:00,,20
1/4/2007 21:00,,16
1/4/2007 22:00,,10
