Kod stacji,DsWrocKorzA,LbLublinPiel,LdLodzWSSEMLegiono,MpKrakowWIOSBulw6118,MpKrakowWIOSPrad6115,Pm.63.wDSMm,SlKatowKato_kossu,SlZabrzZabr_sklod,SlZoryzZory_sikor
Wskaźnik,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g
1/1/2008 0:00,,,,55.875,50.167,,,66.48,
1/2/2008 0:00,,23.6,,37.875,24.417,,,29.88,
1/3/2008 0:00,,18.6,,57.583,34.875,,,48.29,
1/4/2008 0:00,,16.7,,53.25,32.375,,,47.61,
1/5/2008 0:00,,,,59.375,53.708,,,135.6,
1/6/2008 0:00,,,,,37.083,,,54.94,
1/7/2008 0:00,,30.4,,,46.333,,,,
1/8/2008 0:00,,31.6,,43.875,55.25,,,,
1/9/2008 0:00,,15.9,,85.45,112.25,,,,
1/10/2008 0:00,,20.8,,114.5,116,,,56.79,
1/11/2008 0:00,,23.2,,138.875,128,,,74.54,
1/12/2008 0:00,,,,50.375,57,,,50.94,
1/13/2008 0:00,,,,83.042,66.167,,,80.52,
1/14/2008 0:00,,44.1,,97.167,93.458,,,91.69,
1/15/2008 0:00,,26.7,,141.167,175,,,65.9,
1/16/2008 0:00,62.5,25.7,,19.708,42.542,32,,51.98,
1/17/2008 0:00,22.5,26,,69.708,90.5,47,,90.65,
1/18/2008 0:00,9.4,25.2,,78.833,76.625,20,,55.54,
1/19/2008 0:00,14.3,,,41.708,41.417,9,,20.5,
1/20/2008 0:00,7.7,,,16.583,16.542,22,,21.9,
1/21/2008 0:00,7.9,9.1,,8.708,6.583,13,,8.9,
1/22/2008 0:00,16.7,8.2,,6.75,8.25,15,,9.77,
1/23/2008 0:00,18.3,22.1,,22.75,29.958,19,,41.79,
1/24/2008 0:00,11.4,18.7,,49.583,56.583,14,,,
1/25/2008 0:00,15.5,10.5,,32.583,26.667,12,,14.6,
1/26/2008 0:00,6.2,,,15.875,15.583,10,,24.44,
1/27/2008 0:00,38.9,,,8.167,8.042,11,,10.93,
1/28/2008 0:00,25.6,27.6,,29.042,30.667,13,,59.54,
1/29/2008 0:00,28.5,48.9,,77.75,92.583,23,,109.55,
1/30/2008 0:00,11.1,28.6,,88.917,84.208,16,,63.41,
1/31/2008 0:00,14.3,19.7,,48.083,47.583,10,,51.57,
2/1/2008 0:00,10.1,24.4,,32.292,47.167,7,,46.02,
2/2/2008 0:00,19.9,,,39.958,52.25,8,,31.3,
2/3/2008 0:00,29.5,,,35.458,40.208,25,,71.85,
2/4/2008 0:00,35.5,20.3,,36.792,34.75,40,,48.24,
2/5/2008 0:00,10,41.9,,95.25,106.333,22,,107.13,
2/6/2008 0:00,7.7,15.6,,101.167,78,10,,32.5,
2/7/2008 0:00,24.3,9.6,,14.25,16.583,12,,8.43,
2/8/2008 0:00,42.8,42.6,,30.5,42.417,20,,57.59,
2/9/2008 0:00,55.4,,,49.5,53.167,36,,239.34,
2/10/2008 0:00,74.2,,,43.375,39.25,33,,,
2/11/2008 0:00,93.7,51.5,,81.625,75.667,15,,,
2/12/2008 0:00,57,97.9,,153.417,134.458,21,,165.24,
2/13/2008 0:00,19,53.6,,110.458,115.75,24,,98.12,
2/14/2008 0:00,9.1,13.5,,41.958,43.042,9,,172.96,
2/15/2008 0:00,17.8,12,,11.958,17.917,8,,22.31,
2/16/2008 0:00,19.1,,,13.583,18.708,20,,21.95,
2/17/2008 0:00,23.6,,,37.375,46,18,,81.48,
2/18/2008 0:00,19.4,21.7,,38.583,38.917,22,,42.74,
2/19/2008 0:00,36.6,38.7,,33.417,35.5,20,,28.06,
2/20/2008 0:00,34.9,52.2,,103.708,111.167,29,,201.57,
2/21/2008 0:00,19.6,64.7,,134.375,114.833,52,,98.78,
2/22/2008 0:00,11.1,23.3,,32.333,35.292,11,,44.17,
2/23/2008 0:00,15.8,,,15.417,15.25,18,,9.81,
2/24/2008 0:00,35.5,,,39.875,50.167,23,,34.63,
2/25/2008 0:00,28.7,19.8,,70.75,70.667,14,,51.39,
2/26/2008 0:00,13,21.6,,98,75.542,18,,91.91,
2/27/2008 0:00,20.6,3.9,,39.292,43.417,9,,33.61,
2/28/2008 0:00,26.2,21.2,,41.125,50.917,22,,46.3,
2/29/2008 0:00,8.9,30.3,,85.208,78.417,22,,89.95,
3/1/2008 0:00,8.9,,,9.042,13.5,9,,15.46,
3/2/2008 0:00,7,,,5.458,6.208,8,,12.41,
3/3/2008 0:00,9.7,10.4,,18.667,20.625,12,,17.58,
3/4/2008 0:00,18.8,8,,23.333,27.667,23,,22.24,
3/5/2008 0:00,9.4,16,,55.375,56.625,8,,57.59,
3/6/2008 0:00,15.9,19.9,,33.75,36.208,9,,38.88,
3/7/2008 0:00,30.9,70.2,,43.792,39.708,24,,52.3,
3/8/2008 0:00,49.9,,,62.75,53.042,34,,72.32,
3/9/2008 0:00,58.3,,,82.542,78.5,24,,173.06,
3/10/2008 0:00,33.5,27.5,,72.083,58.458,34,,88,
3/11/2008 0:00,20.7,21.1,,34.458,33.375,8,,25.88,
3/12/2008 0:00,9.6,9.6,,10.167,9.875,5,,15.6,
3/13/2008 0:00,8.1,7.1,,10,11.417,3,,9.38,
3/14/2008 0:00,10.7,10.4,,15.917,14.917,11,,12.69,
3/15/2008 0:00,16.1,,,36.583,47.208,10,,38.58,
3/16/2008 0:00,30.7,,,67.75,60.792,6,,49.6,
3/17/2008 0:00,10.2,17.5,,20.292,21.292,3,,12.69,
3/18/2008 0:00,8.6,7.6,,17.375,17,10,,14.04,
3/19/2008 0:00,10.3,11,,20.583,20.583,11,,17.83,
3/20/2008 0:00,13.3,19.5,,21.833,22.708,16,,36.77,
3/21/2008 0:00,13.1,8.6,,24,15.458,23,,23.75,
3/22/2008 0:00,10.4,,,16.75,16.833,18,,22.38,
3/23/2008 0:00,10,,,,37.542,16,,26.35,
3/24/2008 0:00,18.3,,,,20.083,20,,18.23,
3/25/2008 0:00,23.3,20.7,,,26.542,14,,18.81,
3/26/2008 0:00,12.8,11,,19,18.167,22,,17.19,
3/27/2008 0:00,19.8,25.9,,35.583,41.583,20,,53.38,
3/28/2008 0:00,40.6,30.3,,66.75,51.167,25,,52.81,
3/29/2008 0:00,23.1,,,62.167,63.125,,,65.44,
3/30/2008 0:00,21.5,,,63,55.625,13,,,
3/31/2008 0:00,27.5,,,76.583,46.208,29,,,
4/1/2008 0:00,55.3,,,108.917,97.583,42,,,
4/2/2008 0:00,22.6,,,101.261,82.583,21,91,88.02,
4/3/2008 0:00,11.8,,,42.292,43.083,26,40,14.19,
4/4/2008 0:00,16.7,,,42.136,41.042,36,46,19.38,
4/5/2008 0:00,22.9,,,54,51.25,31,79,57.21,
4/6/2008 0:00,19.6,,,48.125,48.208,19,47,37.15,
4/7/2008 0:00,18.3,,,42.333,32.435,17,42,32.38,
4/8/2008 0:00,23.6,,,18.958,24.542,13,28,40.93,
4/9/2008 0:00,34.5,,,47.542,43.167,17,48,62.08,
4/10/2008 0:00,24.4,,,23.5,28.958,21,33,22.44,
4/11/2008 0:00,31.8,,,29.042,31.75,17,46,36.52,
4/12/2008 0:00,22.9,,,19.958,23.042,18,53,24.35,
4/13/2008 0:00,19.2,,,47.833,46.625,18,44,46.23,
4/14/2008 0:00,23.6,,,43.625,36.667,14,44,35.81,
4/15/2008 0:00,36.3,11.6,,49.333,32.792,12,61,,
4/16/2008 0:00,11.7,15.3,,14,10.625,20,,23.06,
4/17/2008 0:00,16.5,15.6,,18.833,19.125,9,17,20,
4/18/2008 0:00,16.1,19.2,,31.333,25.042,14,39,45.65,
4/19/2008 0:00,23.4,,,37.583,29.75,9,31,45.09,
4/20/2008 0:00,17.6,,,24.333,27.5,8,31,36.2,
4/21/2008 0:00,19.4,,,31.458,16.625,8,26,23.24,
4/22/2008 0:00,28.2,,,13,9,6,14,16.48,
4/23/2008 0:00,24,,,11.75,16,12,14,29.35,
4/24/2008 0:00,29.7,,,39.458,29.75,17,32,61.94,
4/25/2008 0:00,25.8,,,51.75,36.75,34,38,63.7,
4/26/2008 0:00,27.2,,,42.458,41.625,28,30,44.91,
4/27/2008 0:00,32.5,,,45,36.417,14,37,52.78,
4/28/2008 0:00,26.5,,,45.042,26.458,21,24,30.46,
4/29/2008 0:00,17.6,,,41.292,18.917,14,19,30.56,
4/30/2008 0:00,21.7,,,36.75,26.917,13,22,33.98,
5/1/2008 0:00,18.8,,,27.708,30.917,23,25,25,
5/2/2008 0:00,14.6,,,20.542,22.458,9,24,24.35,
5/3/2008 0:00,11.2,,,22.167,17.792,13,14,18.15,
5/4/2008 0:00,14.6,,,14.125,11.458,8,14,21.2,
5/5/2008 0:00,15.2,,,31.292,25.042,9,18,25.37,
5/6/2008 0:00,13.9,13.3,,16.583,13.167,4,14,30.55,
5/7/2008 0:00,17.4,16.8,,11.417,9.458,13,15,28.24,
5/8/2008 0:00,22.1,9.2,,15.75,15.875,8,24,29.91,
5/9/2008 0:00,14.7,14.6,,15.417,10.875,10,17,20.74,
5/10/2008 0:00,19.7,,,18.375,15.5,18,22,30,
5/11/2008 0:00,21.1,,,23.833,17.875,13,25,38.7,
5/12/2008 0:00,21.2,4.9,,28.375,28.375,3,30,26.67,
5/13/2008 0:00,20.1,8.9,,32.25,32.792,3,29,29.91,
5/14/2008 0:00,18.6,17.3,,14.333,11.667,8,26,21.11,
5/15/2008 0:00,18.2,15.5,,29.583,21.333,11,34,23.8,
5/16/2008 0:00,17.3,14.7,,19.292,21.667,13,31,27.96,
5/17/2008 0:00,11,,,28.708,20.875,7,31,23.33,
5/18/2008 0:00,8.6,,,14.208,18,4,28,20.83,
5/19/2008 0:00,12.1,4.2,,8,9.083,5,16,11.39,
5/20/2008 0:00,10.3,4.3,,12.375,10.625,7,20,14.54,
5/21/2008 0:00,9.8,4.5,,7.75,6.208,6,13,12.78,
5/22/2008 0:00,14.2,,,10.917,10.917,10,25,13.43,
5/23/2008 0:00,12,,,13.25,14.167,2,23,15.56,
5/24/2008 0:00,10.1,,,24.125,23.5,8,31,25,
5/25/2008 0:00,11.4,,,16.208,14.792,9,29,23.89,
5/26/2008 0:00,15.9,6.8,,14.667,10.458,7,21,18.06,
5/27/2008 0:00,19.1,9,,18.708,17.708,7,32,22.83,
5/28/2008 0:00,14.4,7.9,,19.708,8.708,6,23,16.2,
5/29/2008 0:00,12.2,7.1,,31.458,6.417,2,22,10.74,
5/30/2008 0:00,17.6,11.2,,38.458,7.75,8,27,23.52,
5/31/2008 0:00,17.3,,,25.667,9.333,5,33,29.81,
6/1/2008 0:00,14.1,,,21.5,5.083,10,14,15.28,
6/2/2008 0:00,15.7,,,35.417,6.875,11,18,15.17,
6/3/2008 0:00,17.8,3.5,,26.833,13.75,6,24,24.63,
6/4/2008 0:00,14.8,7.7,,18.875,17.083,5,19,20.46,
6/5/2008 0:00,14.9,3.5,,17.083,4.5,8,11,14.07,
6/6/2008 0:00,12,3.5,,28.5,7.208,8,17,16.02,
6/7/2008 0:00,16.3,3.5,,28.708,6.958,11,13,15.46,
6/8/2008 0:00,14,,,20.667,11.417,1,14,14.42,
6/9/2008 0:00,18.8,,,22.208,17.833,9,23,16.94,
6/10/2008 0:00,20.5,17.9,,21.826,20.583,7,23,26.76,
6/11/2008 0:00,16.3,13.3,,23.042,19.917,5,24,27.22,
6/12/2008 0:00,14.1,10.8,,17.542,10.565,3,10,11.57,
6/13/2008 0:00,14.4,7.9,,22.708,12.083,,14,16.94,
6/14/2008 0:00,16,11.3,,10.25,6.583,2,5,10.83,
6/15/2008 0:00,14.8,,,17.292,10.542,3,10,20.83,
6/16/2008 0:00,17,,,19.542,10.917,1,10,15.74,
6/17/2008 0:00,16.8,9.3,20,19.917,10.125,2,5,17.69,
6/18/2008 0:00,23.9,10.7,19,24.333,15.458,9,16,24.63,
6/19/2008 0:00,25.1,13.1,17,19.958,17.167,13,18,26.76,
6/20/2008 0:00,15.9,12,15,14.917,12.25,5,19,23.98,
6/21/2008 0:00,15.6,13.5,11,10.583,8.917,3,13,18.98,
6/22/2008 0:00,14.8,,13,13.375,10.5,9,12,19.35,
6/23/2008 0:00,14.3,,14,19.125,18.375,6,14,21.39,
6/24/2008 0:00,12.5,3.5,8,14.167,14.083,5,18,15.65,
6/25/2008 0:00,14.9,10.5,15,16.458,11,6,29,24.35,
6/26/2008 0:00,17.6,8.6,17,15.833,16.958,7,20,19.35,
6/27/2008 0:00,21.3,9.1,11,15.542,14.917,6,26,19.91,
6/28/2008 0:00,11.9,7.1,11,12.75,9.208,5,19,10.65,
6/29/2008 0:00,12.1,,12,11.208,13.25,7,18,14.44,
6/30/2008 0:00,17.4,,11,12.458,10.5,4,25,17.41,
7/1/2008 0:00,18.1,9,14,8.958,7.125,7,18,13.61,
7/2/2008 0:00,13.1,8.3,11,18.167,10.875,9,26,24.44,
7/3/2008 0:00,15.4,9.3,13,32.667,14.583,8,29,27.31,
7/4/2008 0:00,,8,16,16.375,13.75,8,21,21.94,
7/5/2008 0:00,,,13,8.333,9.25,13,13,10.37,
7/6/2008 0:00,,,12,9.917,9.5,13,15,12.69,
7/7/2008 0:00,,7,14,7.875,10.042,11,18,15.37,
7/8/2008 0:00,,7.6,9,6.708,7.375,7,16,9.35,
7/9/2008 0:00,,7,10,5.458,6.167,9,14,9.26,
7/10/2008 0:00,,9.2,13,11.042,13.667,11,16,11.94,
7/11/2008 0:00,,7,13,17.25,18.083,14,25,17.41,
7/12/2008 0:00,,,12,17.417,16.708,10,18,17.5,
7/13/2008 0:00,,,11,13.25,13.696,6,15,13.33,
7/14/2008 0:00,,8.6,12,10.292,10.958,9,12,11.94,
7/15/2008 0:00,,7,14,9.917,12,11,18,15.83,
7/16/2008 0:00,,17.3,14,19.958,23.333,7,21,21.11,
7/17/2008 0:00,,8.7,13,17.125,18.958,7,17,18.61,
7/18/2008 0:00,,11.8,17,17.958,20.375,13,28,24.26,
7/19/2008 0:00,,,10,20.292,18.458,11,21,20.37,
7/20/2008 0:00,,,9,14.25,12.417,8,13,13.89,
7/21/2008 0:00,,7,8,10.417,10.208,7,18,13.52,
7/22/2008 0:00,,8.4,10,11.833,13.792,6,16,24.35,
7/23/2008 0:00,,7,7,8.542,7.917,11,14,18.52,
7/24/2008 0:00,,12.7,8,11.125,10.875,7,13,19.44,
7/25/2008 0:00,,7.6,13,15.208,14.81,7,17,18.98,
7/26/2008 0:00,,,10,13.458,18.318,11,20,20.09,
7/27/2008 0:00,,,9,8.875,8.333,10,,16.85,
7/28/2008 0:00,,7,9,13.333,12.667,7,,22.87,
7/29/2008 0:00,,7,11,17.708,17.25,,,18.8,
7/30/2008 0:00,,7,10,26.667,16.333,,,23.43,
7/31/2008 0:00,,7,10,27.417,16.625,,,46.67,
8/1/2008 0:00,,13.8,16,50.167,28.292,25,,25.19,
8/2/2008 0:00,,,16,22.75,24.625,20,,20.28,
8/3/2008 0:00,,,9,16.125,17.708,12,,14.26,
8/4/2008 0:00,,7,9,8.083,7.333,13,,11.02,
8/5/2008 0:00,,7,14,5.75,6.5,8,,7.13,
8/6/2008 0:00,,7,14,21.542,16.042,15,21,13.98,
8/7/2008 0:00,,12.7,13,25.958,16.708,19,24,26.02,
8/8/2008 0:00,,14.4,11,20.75,20.958,13,13,17.96,
8/9/2008 0:00,,,10,11.833,10.792,14,5,9.26,
8/10/2008 0:00,,,11,9.375,9,14,5,10.28,
8/11/2008 0:00,,13.4,17,12.292,11.583,9,15,14.26,
8/12/2008 0:00,,20.1,17,15.375,18.208,12,16,15.28,
8/13/2008 0:00,,18.6,12,19.292,23,7,11,18.06,
8/14/2008 0:00,,13.8,12,26.083,24.875,9,13,25.56,
8/15/2008 0:00,,,10,31.083,32.917,6,15,18.06,
8/16/2008 0:00,,,5,8.167,7.542,,5,4.35,
8/17/2008 0:00,,,8,5.292,6.25,,5,6.76,
8/18/2008 0:00,,13.9,13,13.75,14.333,,17,15.37,
8/19/2008 0:00,,13.3,17,33.708,17.25,,20,18.8,19
8/20/2008 0:00,,7,13,30.083,21.542,,20,17.87,19
8/21/2008 0:00,,14.9,16,16.478,12.917,,17,15.93,20
8/22/2008 0:00,,12.4,17,28.458,18.042,,24,17.87,24
8/23/2008 0:00,,,10,25.958,21,,5,13.98,22
8/24/2008 0:00,,,6,12.708,11.875,,5,9.35,12
8/25/2008 0:00,,10.5,11,14.208,14.458,,5,11.85,17
8/26/2008 0:00,,18.9,19,20.917,,,14,23.89,11
8/27/2008 0:00,,22.5,26,35.364,,,18,40.74,33
8/28/2008 0:00,,20.7,19,28.75,26.174,,22,29.35,12
8/29/2008 0:00,,7,9,14.917,14.458,,16,15.93,21
8/30/2008 0:00,34,,16,10.667,9.783,,5,10.19,18
8/31/2008 0:00,16.7,,11,15.667,12.75,,17,29.91,23
9/1/2008 0:00,19.2,15.6,17,,24.083,,19,24.26,28
9/2/2008 0:00,19.7,20.4,18,,26.227,,20,21.2,24
9/3/2008 0:00,19.2,28.1,22,40.958,37.542,,33,28.15,29
9/4/2008 0:00,14.6,20.5,19,28.583,28.167,,26,22.41,26
9/5/2008 0:00,18.9,25.6,26,36.542,28.792,,37,31.39,35
9/6/2008 0:00,21.9,,21,,29.25,,28,31.02,27
9/7/2008 0:00,12.5,,14,,23,,18,19.63,19
9/8/2008 0:00,22.4,7.3,12,,10.125,,5,6.48,10
