Kod stacji,DsCzer02,DsDzia01,DsGlogNorw,DsGlogNorwArch,DsJgGrottgeraPM,DsLegRzeczA,DsLegZlotor,DsLubinMaj,DsNRudaSrebPArch,DsOlawaSemi,DsOlesnicaPM,DsOlesnicaPM,DsPolkKasz,DsSwidRynek,DsSwidRynekArch,DsSzczKopPM,DsWalbWysPArch,DsWrocWie,DsZgorzBohA,DsZlotoryjaPM,DsZlotoryjaPMArch,KpBydgWPola,KpCiechoTezniowa,KpInowrSolankowa,KpNakloPiotraSkargi,KpNakloSkargi,KpSadlog,KpTorunDziewulsk,KpWloclLady,KpWloclOkrzei,KpWolice,KpZninPotockiego,LbBialaPOrzechowa,LbChelmSzpWSSE,LbKrasnikKoszarowa,LbLeczna1000Lecia,LbLublinPiel,LbLublinSpokojna,LbLukowBrowarna,LbPulawySkowieszynska,LbRadzyPSitkowskiego,LbRejowiecFabrWIOS,LbTomaszowLubWIOS,LbZamoscWSSE,LdKutnoWIOSMWilcza,LdLodzWIOSACzernik,LdLodzWIOSARubinst,LdLodzWSSEMLegiono,LdLodzWSSEMRudzka,LdPabianWIOSAKonstan,LdRadomsWSSEMZeromsk,LdSieradWSSEMGrunwal,LdSkiernWSSEMReymont,LdZgierzWSSEMStRynek,LuGorzowWIOS_AUT,LuGorzowWSSE_1,LuZaryWSSE,LuZgoraWIOS_AUT,LuZgoraWSSE_1,MpBochniWSSEKons0105,MpChrzanWSSEGrzy0301,MpGorlicWIOSKras0511,MpGorlicWSSELegi0501,MpKrakowWIOSBulw6118,MpKrakowWIOSPrad6115,MpMaPodhWIOSKosc1508,MpNoTargWSSESzaf1102,MpNSaczWIOSPija6204,MpNSaczWSSETarn6202,MpOswiecWSSEWiez1301,MpProszWIOSKrol1404,MpSkawinWIOSOsie0606,MpTrzebiWIOSPils0303,MpTuchowWIOSSzop1602,MpWadowiWIOSPSka1805,MpWielicWIOSNiep1904,MzCiechStrazacka,MzGranicaKPN,MzLegionZegIMGW,MzOstrolTargowa,MzOtwockBrzozWSSE,MzPiaseczDworWSSE,MzPiastowPulask,MzPlockKolegWSSE,MzPruszKraszeWSSE,MzSochPlocWSSE,MzTluszczJKiel,MzWarszAKrzywon,MzWarszBernWoda,MzWarszKrucza,MzWarszSGGW,MzWarszZelazWSSE,MzWarZeganWSSE,MzWolOgrodowa,OpBrzeg101,OpGlub1pyl,OpKlucz227,OpNamys2pyl,OpOlesno3pyl,OpOpole246,PdBialyLegionowa8,PdBialyMiejska,PdLomzaSikorskiego,PdSuwPulaski,PkDebicaWSSEParkow,PkJarosWIOSJanPawII,PkJarosWSSE3Maja,PkJasloWIOSFlor2,PkKrosnoWIOSKletowki,PkKrosnoWSSEKisielewskiego,PkMielWIOSZarzStr,PkNiskoWIOSSzklar,PkPrzemWIOSPDom,PkPrzemyslWIOSMick,PkRzeszWIOSSzop,PkRzeszWSSEPilsud,PkRzeszWSSEWierzb,PkSanokWSSEJezier,PkTarnobWSSE1Maja,Pm.00.s237m,Pm.00.s481m,Pm.01w.01m,Pm.06.s712m,Pm11WLADw07m,Pm14TCZEw06m,Pm.15.s129m,Pm.63.s079m,Pm.63.wDSMm,Pm.D,SkKielJagiel,SkKielJagielWios,SkKielKusoc,SkOzarowMiec,SkOzarowOsWz,SkPolanTrzc,SlBielbBiel_kossa,SlCieszCies_dojaz,SlCzestCzes_baczy,SlDabroDabr_1000L,SlGodowWodz_wodzi,SlKatowKato_kossu,SlKatowKato_racib,SlKnuroKnu1_gliwi,SlLubliLubl_piask,SlMiastMias_norwi,SlMyszkMysz_myszk,SlRacibRaci_studz,SlRybniRybn_borki,SlWodziWodz_bogum,SlZabrzZabr_sklod,SlZawieZawi_zawie,SlZywieZywi_koper,WmDzialdWSSE_Biedraw,WmElblagWSSE_Krole,WmGizyckWIOS_Wodoc,WmOlsztyWSSE_Zolnier,WmPuszcz_IOS_Borecka,WpGnieznoPM10,WpLeszno411000,WpOstrowWlkpPM10,WpPila5710111,WpPoznanPM10szpital,ZpGryfWiduchowa003,ZpKoszalinWSSE,ZpSzcSzczecinekPSSE,ZpSzczecin002,ZpSzczecin004
Wskaźnik,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,Arch,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,PM10-24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
1/1/2009 0:00,32,41,72,72,,99.6,,,,49.542,,,56.7,,,68.7,32,,67,,,58,,22,51,51,,,,,8.7,,134,83.1,71.1,77.6,75.2,,94,,83,,47.9,58.6,,59,55.417,77,77,51,64,,71,,218,53.7,,63,,56,,54,54,93,82,240,,140.042,82,,154,100,73,56,121,112,,,109,99.3,75,66,104,,,,,,,44.5,,31,56,,,47,,102,59,63,111,105,134.667,65.045,43,94,,53,38,,61.3,56.8,128,,44.7,38,33,,,,,17,,24,61,,52,88,,,,77.9167,68,58,49,61,,,58,,52,,,,20,,,59,,50,,,75.5,11.1,,38.5,43.73,70.6,82,,82.3,60.7,55.5,,85,84.9,40
1/2/2009 0:00,16,39,57,57,,65.9,68.2,34,,42.292,,,49.1,,,45.6,31,,60,,,59,,23,63,63,,,,,6.2,,176,160.4,88.6,102.2,84.6,62.9,62,58.7,76,,90.6,117.6,,36,32.417,57,54,37,48,44,65,,109.708,25,56.4,74,,39,,37,37,81,82,95,52,71.167,123,75,86,88,86,74,106,90,81,,87,42.9,45,40,71,37,,,71,25,59,34.8,,27,34,,71,49,60,58,46,53,69,53,93.292,,57,,,72,64,,74.6,69.1,84,,74.9,56,53,19,,,,20,13,5,20,,44,63,,,,78.4461,44,37,39,65,45,,44,,53,29,,89,26,,35,65,101,33,,,40.6,100.4,,,10,75.2,64,,66.2,50,23.8,,54,34.9,15.5
1/3/2009 0:00,7,25,21,21,,22,20,25,,20.875,,,15.6,43,43,75.7,23,,37,,,27,,26,34,34,,,57,,,,43,120.8,40.8,46,34.6,46.6,37,39.1,45,,25.6,29.8,,26,21.458,37,31,25,16,18,,,33.042,21.9,9.6,72,,29,62,50,50,58,60,106,105,96.458,82,32,70,60,51,74,36,61,182,,66,31.5,44,23,42,20,,,40,11,40,38.5,,15,15,71,,34,24,27,20,39,43,17,21.125,,28,,,50,32,44,44.2,30.3,34,,38.5,32,26,,,4.4,9.7,16,7.1,11,14,,13.7,17,,,,35.283,44,31,26,28,38,,,,34,33,,48,,,34,51,69,45,35,,24.8,3.8,,,11.03,28.5,41,,31.9,28.6,10.4,,18,33.2,14
1/4/2009 0:00,16,42,32,32,,40.4,9.1,28,,30.583,,,23.9,57,57,100,28,,34,,,60,,20,63,63,,,14,,,,34,54.9,44.3,41.5,41.3,23.6,26,26.9,25,,27.3,35.8,,29,24.542,47,61,42,44,26,61,,50.875,30.3,23.1,67,,58,47,86,86,37,42,86,61,71.208,87,73,56,48,52,53,72,59,62,,75,30.5,18,17,33,36,,,26,13,22,16.5,,17,13,38,,35,65,49,64,25,24,19,84.348,,34,,35,40,37,26,40.4,28.1,34,,35,35,30,,,,125.4,20,104.1,18,78,,27.4,17,,,,44.8164,25,19,33,35,53,,,,41,45,,86,,,53,60,65,77,71,,95.7,83.5,,,6.67,25.7,41,19.5,36.9,27,24.7,,24,30.7,18.3
1/5/2009 0:00,32,48,54,54,,73.3,27.7,39,,47.5,,,77.4,69,69,75.7,40,54.9,68,,,68,,58,94,94,,206,29,,9.9,,91,37.2,42.7,22.3,50,68.7,87,55.5,67,,36.9,31.5,,41,39.875,65,131,123,68,74,,141,84.833,79.7,52.2,51,,,71,,,101,67,101,68,85.667,70,60,,63,60,87,84,71,215,,96,207.1,231,82,51,106,,,65,44,55,36.6,,40,98,24,54,76,47,66,99,25,40,183,145.625,,54,,38,63,52,46,37.1,36.9,57,,44.1,41,37,37,,26.9,97.9,22,288.5,26,121,,107,69,,,,44.1077,44,28,29,70,72,,,,68,52,,83,29,,83,70,109,79,60,87,98.6,53.6,,36.3,25.56,117.6,80,18.9,57.1,81.8,42.7,81,236,45.5,22.6
1/6/2009 0:00,24,63,62,62,13,122.8,51.5,103,251,84.75,,,86.3,119,119,186.6,,147,175,,,79,86.7,67,62,62,,128,81,,8.4,,143,155.8,,,52.4,68.2,207,52.8,149,,,,,115,96.875,138,187,202,179,114,,,230.792,,60.9,49,,,53,,,93,99,153,261,103.708,226,132,,80,107,,135,74,291,,256,126.6,171,120,170,134,,,117,63,177,112,,58,139,,,77,,135,223,19,269,116,150.208,,54,64,42,66,44,41,38.5,38.9,58,,40.1,41,32,38,,14,20.8,92,140.4,19,58,,27.4,40,14,,,,51,66,41,146,113,,,,96,113,,224,33,,181,219,235,170,111,207,6.5,47.7,,39.7,33.21,112.9,77,,137.2,122.9,60.3,24,68,49.5,27.9
1/7/2009 0:00,23,49,30,30,14,102.5,71,,222,88.833,,,45.7,104,104,89.2,35,97.7,66,,,65,31.7,19,55,55,,46,116,,16.4,,90,38.1,,,70.8,72.8,109,64.3,73,,,48.5,,48,55.958,73,76,49,82,49,,,104.417,,27.5,37,,,128,,,141,150,,99,327.625,198,80,149,174,120,,,147,,,102,49.7,49,47,88,46,,,95,23,80,104.3,,30,31,,69,100,89,141,231,38,76,73,76.667,48.292,72,68,66,73,52,53,88,60.7,97,,59.5,55,52,36,,13.3,11.9,29,12.3,18,,,35.2,26,4,,,,67,71,56,66,49,,,,94,57,,102,56,,37,142,86,147,,50,9.8,10.8,,30.1,23.99,65,69,,62.5,61.9,33.6,16,51,36,19.9
1/8/2009 0:00,17,20,22,22,5,105.6,29.1,49,229,46.75,,,35.4,75,75,99.9,32,99,47,,,47,39.7,27,75,75,,38,37,,10.5,51.2,63,41.2,,,51.1,50.9,46,49.9,40,,,46.8,,48,37.375,77,65,46,55,30,,64,80.292,,20.5,,22.6,,85,,,82,92,124,304,153.273,164,277,94,99,124,,101,105,82,,66,31,29,32,56,35,,,40,23,46,32.9,,26,32,,80,58,85,80,62,,54,29,44.727,13.458,34,58,57,91,118,77,90.4,45.3,51,,66.3,52,49,41,,8.2,13.5,16,13.7,13,,,24.8,21,13,,,,45,32,61,77,100,,,,54,92,,77,16,,112,138,159,115,,122,30.5,17.9,,4.7,12.09,67.8,54,,58.1,56.9,,22,48,36.1,17.9
