Kod stacji,DsWrocKorzA,LbLublinPiel,LdLodzWSSEMLegiono,MpKrakowWIOSBulw6118,MpKrakowWIOSPrad6115,MpTarnowWIOSSoli6303,MzPlockReja,MzRadomTochter,MzWarszUrsynow,Pm.63.wDSMm,SlKatowKato_kossu,SlZabrzZabr_sklod,SlZoryzZory_sikor,WmPuszcz_IOS_Borecka
Wskaźnik,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
1/1/2009 0:00,48.7,,57,66.083,60.333,,,,80.5,,,58.61,45,40.38
1/2/2009 0:00,38.6,58,48,64.542,67.375,,29.7,43.4,50.4,22,,37.78,52,7.65
1/3/2009 0:00,24.8,,29,49.25,49.5,,19.8,21.7,41.3,4,,48.7,32,10.74
1/4/2009 0:00,37.5,,40,36.625,33.833,,13.5,35.7,20.3,24,,78.89,52,5.46
1/5/2009 0:00,50.2,32.6,56,54.25,55.458,,36,51.1,11.2,57,,93.06,59,25
1/6/2009 0:00,63.7,30.7,114,70.5,80.708,,89.1,137.2,29.4,12,,149.91,140,31.67
1/7/2009 0:00,128,48.9,61,107.917,118.458,,60.3,54.6,102.2,18,,,114,22.51
1/8/2009 0:00,44.2,38.7,65,63.125,73.958,,33.3,37.1,56.7,30,,114.63,78,11.32
1/9/2009 0:00,139,26.5,50,108.875,114.208,,27,25.9,35.7,20,,78.52,54,7.74
1/10/2009 0:00,63.7,,74,69.25,72.333,,55.8,37.1,24.5,15,,,118,8.2
1/11/2009 0:00,111,,65,81,99.5,,58.5,49.7,42.7,24,,,99,31.24
1/12/2009 0:00,108,39.2,50,147.042,195.125,,63.9,64.4,38.5,35,,,40,52.89
1/13/2009 0:00,106,57.6,74,179.667,207.125,,62.1,33.6,55.3,36,,106.39,53,58.32
1/14/2009 0:00,128,106.5,95,188.542,194.042,,140.4,128.1,117.6,48,,149.94,75,104.77
1/15/2009 0:00,58.9,65.6,80,91.875,100.167,,105.3,56.7,80.5,37,,,109,38.07
1/16/2009 0:00,53.8,49.8,50,43.542,52.667,,24.3,32.2,24.5,21,,67.87,63,5.68
1/17/2009 0:00,87.7,56.5,61,85.042,87,,36,60.2,44.1,23,,159.26,139,5.5
1/18/2009 0:00,66.2,43.1,78,105.208,115.833,,60.3,70,46.2,53,,98.7,66,17.48
1/19/2009 0:00,29.2,29.5,44,64.125,66.042,,51.3,35.7,32.9,31,,77.22,34,34.2
1/20/2009 0:00,67,21.1,66,55.042,68.667,,52.2,33.6,35.7,36,,259.35,92,30.65
1/21/2009 0:00,76.6,30.8,68,85.167,87.292,,77.4,43.4,44.8,43,,186.73,126,28.9
1/22/2009 0:00,40.2,39.4,35,88.667,84.75,,43.2,38.5,33.6,26,,72.31,118,15.87
1/23/2009 0:00,51.4,27.3,37,85.708,83.833,,37.8,37.1,37.1,28,,85.93,63,13.96
1/24/2009 0:00,29.8,37.1,45,66.458,71.542,,39.6,39.2,39.9,25,,85.95,56,16.2
1/25/2009 0:00,61.9,58,71,122.042,118.458,,29.7,60.9,49,31,,222.31,153,15.95
1/26/2009 0:00,60.8,52.1,48,77.75,77.583,,59.4,70,65.1,38,,83.52,54,15.87
1/27/2009 0:00,58.2,22.4,41,48.292,47,,39.6,,33.6,51,,63.06,48,12.36
1/28/2009 0:00,36.4,10.8,28,30.25,31.375,,19.8,,14,37,,25.28,42,9.39
1/29/2009 0:00,23.6,26,39,24.167,27.625,,24.3,,11.2,41,,26.94,29,13.21
1/30/2009 0:00,40.2,36.2,28,29.167,30.042,,19.8,,23.1,14,,45.65,51,6.95
1/31/2009 0:00,23.8,,31,37.875,34.25,,9.9,,28,7,,42.96,48,13.07
2/1/2009 0:00,31,,23,33.708,25.292,27,16.2,,10.5,14,,43.24,39,14.92
2/2/2009 0:00,36.8,21.9,27,44.958,33.083,33,19.8,,11.2,8,,54.26,42,27.72
2/3/2009 0:00,50.7,18.1,,49.458,39.25,29,19.8,,11.2,16,,60.28,53,8
2/4/2009 0:00,98.9,52.5,,99.875,109.208,66,39.6,34.3,37.1,40,,,160,30.74
2/5/2009 0:00,83.3,39.5,55,131.083,114.083,88,83.7,51.1,42,33,,112.04,113,45.08
2/6/2009 0:00,77.8,39.9,47,86.417,107.833,32,31.5,24.5,32.9,29,73,90.56,57,32.34
2/7/2009 0:00,45.9,,33,36.5,43.125,24,29.7,15.4,19.6,28,24,19.63,17,22.53
2/8/2009 0:00,28,,29,50.333,52.208,33,31.5,51.1,18.9,6,57,43.98,36,16.78
2/9/2009 0:00,37.7,24.2,51,37.083,41.458,35,36,51.1,16.8,19,61,60.19,69,16.44
2/10/2009 0:00,34.2,9.4,,48.25,71.75,42,26.1,15.4,24.5,23,53,78.43,55,17.75
2/11/2009 0:00,18.3,14.6,,15.833,15.583,25,9.9,30.8,11.2,28,22,8.43,22,16.6
2/12/2009 0:00,17.5,23.6,,23.958,25.708,22,21.6,26.6,15.4,11,32,20.93,34,16.17
2/13/2009 0:00,20.6,15.4,,26.833,27.75,33,19.8,44.8,16.8,6,,20.19,35,13.52
2/14/2009 0:00,17.8,,,23.25,23.5,37,13.5,51.1,15.4,11,,18.98,42,7.64
2/15/2009 0:00,21.7,,,25.833,27.083,32,34.2,26.6,11.2,25,,20.47,38,3.68
2/16/2009 0:00,44.7,48.3,,46.083,50.042,92,18,65.1,35.7,20,,87.96,57,5.47
2/17/2009 0:00,47.5,67.3,,70.708,75.417,115,14.4,60.2,26.6,5,,87.59,99,6.9
2/18/2009 0:00,19.2,27.1,,37.833,44.833,62,26.1,20.3,16.8,18,,,24,9.18
2/19/2009 0:00,31.2,38.3,,34.5,41.875,45,63.9,11.2,19.6,33,43,,64,26.44
2/20/2009 0:00,54.8,68.2,76,74,99.958,72,53.1,20.3,46.2,30,73,115.83,64,32.88
2/21/2009 0:00,73.8,72.4,80,108.042,100.75,110,24.3,16.8,84,34,76,140.65,86,39.96
2/22/2009 0:00,66.7,30.2,43,129.5,111.333,106,83.7,25.9,78.4,21,80,257.66,128,43.62
2/23/2009 0:00,12.9,35.6,53,44.167,34.292,52,49.5,18.9,35.7,34,25,70.19,38,38.7
