Kod stacji,DsLegRzeczA,DsOsieczow,DsWalbWysA,DsWrocGrobla,DsWrocKorzA,KpBydgBerlinga,KpTorunDziewulsk,KpWloclSielska,KpZielBoryTuch,LbBialaPOrzechowa,LbChelmJagWIOS,LbLublin_Sliwins_5,LbZamoscHrubieszowsk,LdLodzWIOSACzernik,LdLodzWSSEMLegiono,LdPiotrkWIOSMSienkie,LuGorzowWIOS_MAN,LuWschowWIOS_AUT,LuZgoraWIOS_AUT,MpKrakowWIOSBuja6119,MpKrakowWIOSBulw6118,MpNSaczWIOSPija6204,MpTarnowWIOSBitw6304,MpTrzebiWIOSZWM0305,MpZakopaWIOSRown1701,MzPiastowPulask,MzPlockReja,MzRadomHallera,MzRadomTochter,MzWarszUrsynow,MzWarTarKondra,OpKlucz2pyl,OpOpole4pyl,PdBialyWarszawska,PdLomzaSikorskiego,PkKrosnoWIOSKletowki,PkNiskoWIOSSzklar,PkRzeszWIOSNoweMiasto,PkRzeszWIOSSzop,Pm.01w.02m,Pm.63.wDSAa,Pm.63.wDSMm,Pm.aw07m,Pm.aw08m,SkBuskoWios2,SkKielJagielWios,SlBielbBiel_stern,SlCzestCzes_zana6,SlGliwiGliw_mewy,SlGodowWodz_wodzi,SlKatowKato_kossu,SlZlotyJano_lesni,SlZoryzZory_sikor,WmElblagWIOS_Bazynsk,WmOlsztyWIOS_Puszkin,WmOstrodWIOS_Chrobre,WmPuszcz_IOS_Borecka,ZpKoszalin006,ZpMysMysliborz007,ZpSzcSzczecinek008,ZpSzczecin001
Wskaźnik,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
1/1/2010 0:00,,,,,45.5,,22.083,,13.4,13,14.6,,24.5,,,,,,,,64.208,110,,,30,,39.2,,36.4,,21.8,,41,11,,,,,,,,,,61.04,,,134,,77,88,,,72,,,9.93677,10.27,14.3,,24.5,
1/2/2010 0:00,,,,,35.6,,21.583,,7.1,20,6.5,,24.2,,,,,,,,41.458,47,,,36,,,,36.2,31.3,20,,26,13,,,,,,,,,,7.47,,,54,,37,47,,,39,,,6.69234,14.78,5.6,,13.3,
1/3/2010 0:00,,,,,16.8,,45.042,,17.3,51,30.8,,18.7,,,,,,,,33.5,44,,,32,,,,28.4,23.4,23.6,,18,47,,,,,,,,,,28.22,,,50,,23,48,41.66,,57,,,26.9288,14.21,,,23.3,
1/4/2010 0:00,,,,,73.7,,47.917,,18.2,55,70.6,,66,,,,,,,,110.875,131,,,106,,,,52.3,63.6,81.8,,87,52,,,,,,,18,18,,20.21,,,71,,97,104,98.01,,134,,,35.4342,31.99,,,15.9,
1/5/2010 0:00,,,,,136,,64.208,,30.6,30,32.5,,43.3,,,,,,,,91.333,173,,,168,,,,61.7,69.4,76.4,,57,65,,,,,,,40,40,,37.13,,,57,,106,115,80.4,,102,,40.76,41.7712,38.86,,,38.9,
1/6/2010 0:00,,,,,82.6,,75.125,,46,28,26.4,,32.9,,,,,,,,84.083,121,85,,148,,54.2,,39.6,45.6,45.5,,56,20,,,,,,43,49,49,,41.35,,,145,,78,130,86.09,,217,,39.34,36.3502,31.42,,,46.7,
1/7/2010 0:00,,,,,92.6,,84.083,,55.3,69,71.4,47.4,83.7,,,,,,,,141.783,145,118,,50,,69.5,,70.5,62.1,65.5,,93,43,,,,,,26,81,81,,61.72,,,125,,160,155,152.25,,162,,51.48,51.7012,39.71,,,66.5,
1/8/2010 0:00,,,,78.7,104.9,,91,,53.9,92,44.6,91.3,45.6,,,,26,,,,71.375,133,,,70,,86.3,,95.4,76.3,98.2,,72,69,,,,,,,46,46,,76.22,68,,113,,160,189,146.74,,92,,62.92,71.6142,69.08,,,58,46.8
