Kod stacji,DsLegRzeczA,DsOsieczow,DsWalbWysA,DsWrocGrobla,DsWrocWisA,KpBydgBerlinga,KpGrudzStar,KpTorunDziewulsk,KpWloclSielska,KpZielBoryTuch,LbBialaPOrzechowa,LbChelmJagWIOS,LbLublin_Sliwins_5,LbZamoscHrubieszowsk,LdLodzWIOSACzernik,LdLodzWSSEMLegiono,LdPiotrkWIOSMSienkie,LuGorzowWIOS_MAN,LuWschowWIOS_AUT,LuZgoraWIOS_AUT,MpBochniWIOSKBar0106,MpKrakowWIOSAKra6117,MpKrakowWIOSBuja6119,MpKrakowWIOSBulw6118,MpNSaczWIOSNadb6205,MpTarnowWIOSBitw6304,MpTrzebiWIOSZWM0305,MpZakopaWIOSRown1701,MzPiastowPulask,MzPlockReja,MzRadomHallera,MzWarNiepodKom,MzWarszUrsynow,MzWarTarKondra,OpKlucz2pyl,OpOpole4pyl,PdBialyWarszawska,PdLomzaSikorskiego,PkKrosnoWIOSKletowki,PkNiskoWIOSSzklar,PkRzeszWIOSNoweMiasto,PkRzeszWIOSSzop,Pm.01w.02m,Pm.63.wDSAa,Pm.63.wDSMm,Pm.aw08m,SkBuskoWios2,SkKielJagielWios,SlBielbBiel_stern,SlCzestCzes_zana6,SlGliwiGliw_mewy,SlGodowWodz_wodzi,SlKatowKato_aleja,SlKatowKato_kossu,SlZlotyJano_lesni,SlZoryzZory_sikor,WmElblagWIOS_Bazynsk,WmOlsztyWIOS_Puszkin,WmOstrodWIOS_Chrobre,WmPuszcz_IOS_Borecka,WpWKP001,WpWKPKalisz007/10,ZpKoszalin006,ZpMysMysliborz007,ZpSzcSzczecinek008,ZpSzczecin001
Wskaźnik,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
1/1/2011 0:00,16,11.922,,26,,8.9,,14,9.1,7.2,19,35.4,29.2,24.7,29.3,18.1,20,9.1,14,16,,44.375,30,23.667,49,30,34,39,17.4,13.2,16.7,20.692,12.1,14.7,24,23,,24.496,,,40.8,,5,,,,27,32.3,14,28,29,32,,,31,,8.5509,8.35,10.1792,5.62,18.29,12.771,3.4,9.2,7.6,8.1
1/2/2011 0:00,16,7.765,,19,,10.1,,18,10.9,4.2,17,27.9,12.5,24.8,9.8,27.4,18.4,7.2,7,12,,61.25,35,28.958,50,29,34,26,16.7,15,8.9,14.404,17.2,13.1,16,10,,55.366,,,24.7,,5,,,,13,13.4,27,22,21,50,,,10,,11.2795,13.71,7.45449,3.14,18.12,14.51,2.4,11.5,11.5,9.7
1/3/2011 0:00,28,24.058,,25,,16.5,,20,12.7,12.3,24,48.3,32.7,40.7,15.3,32.1,34.7,14.5,17,29,,78.208,43,42.375,73,51,56,39,24.5,21.7,30.9,27.188,21.5,21.2,24,18,,24.689,,,45.2,31.6,,,,,30,23.7,34,33,26,40,,,24,60,17.647,21.15,24.7328,10.03,20.82,21.058,8.7,46.7,13.6,12.6
1/4/2011 0:00,56,,,69,,25.2,,32,18.2,18.5,27,44.6,33.8,34.2,18.9,66,80,30.8,48,38,,187.833,122,144.792,150,44,71,103,54.5,40.7,38.2,38.383,30.4,32.8,67,68,,53.553,,,31.6,34.8,,,,,72,60.2,68,137,76,112,,78,45,63,24.0245,29.6,30.0049,14.62,55.8,64.35,18.6,53.1,19.1,17.5
1/5/2011 0:00,96,105.209,,55,,67,,76,36.4,56.6,28,37.9,45.9,52.8,66,42.7,115,25.4,68,54,,269.042,207,185,114,25,73,128,51.5,86.3,86.3,80.05,66.7,82.9,27,26,,113.307,,,29.4,26,54,,,,57,78.3,65,97,79,109,109,94,,,76.832,70.81,72.3589,53.45,,74.525,22,64.5,42,28.3
1/6/2011 0:00,33,71.223,19,36,,37.8,,44,29.1,49.7,31,,39.6,61.2,63,65,68,16.3,86,27,,317.333,246,95.292,18,24,40,80,51.2,55.5,42,48.721,42.1,42.5,26,29,,64.067,22.4,,21.1,20.6,47,,,,35,39.6,21,70,,125,76,78,,14,52.4342,55.01,48.3581,43.73,47.23,41.024,25.7,47.1,43.5,22.7
1/7/2011 0:00,45,24.768,13,53,,18.3,,31,16.4,22.5,29,,22.7,22.8,33.9,36,73,18.1,26,29,,185.625,102,74.417,87,23,49,127,50.9,43.4,48.4,45.713,31.2,35.6,46,34,,71.878,20.5,,19.2,16.3,17,,,,34,58.5,33,72,,72,80,83,,78,28.7691,,,17.11,34.88,59.529,17.9,40.3,24.9,14.6
1/8/2011 0:00,45,15.154,4,51,,36.5,,52,34.6,29.6,25,,24.2,32,29.1,54.6,71,30.9,38,36,,170.708,108,107.636,96,20,77,157,55.6,46.6,43.9,52.263,40.3,46.4,24,26,,72.425,15.3,,18.5,16.7,43,,,,51,52.3,94,57,,49,104,97,,53,48.2494,50.45,49.8115,27.3,46.96,49.933,20.4,42,36.7,15.5
