Kod stacji,DsLegRzeczA,DsOsieczow,DsWalbWysA,DsWrocGrobla,DsWrocWisA,KpBydgBerlinga,KpTorunDziewulsk,KpWloclSielska,KpZielBoryTuch,LbBialaPOrzechowa,LbChelmJagWIOS,LbLublin_Sliwins_5,LbZamoscHrubieszowsk,LdLodzWIOSACzernik,LdPiotrkWIOSMSienkie,LuGorzowWIOS_MAN,LuWschowWIOS_AUT,LuZgoraWIOS_AUT,MpBochniWIOSKBar0106,MpKrakowWIOSAKra6117,MpKrakowWIOSBuja6119,MpKrakowWIOSBulw6118,MpNSaczWIOSNadb6205,MpTarnowWIOSBitw6304,MpTrzebiWIOSZWM0305,MpZakopaWIOSRown1701,MzPiastowPulask,MzPlockReja,MzRadomHallera,MzWarszUrsynow,MzWarTarKondra,OpKlucz2pyl,OpOpole4pyl,PdBialyWarszawska,PdLomzaSikorskiego,PkKrosnoWIOSKletowki,PkNiskoWIOSSzklar,PkRzeszWIOSNoweMiasto,PkRzeszWIOSSzop,Pm.01w.02m,Pm.63.wDSAa,Pm.63.wDSMm,Pm.AM12.a,SkBuskoWios2,SkKielJagielWios,SkStaracZlota2,SlBielbBiel_stern,SlCzestCzes_zana6,SlGliwiGliw_mewy,SlGodowWodz_wodzi,SlKatowKato_aleja,SlKatowKato_kossu,SlZlotyJano_lesni,SlZoryzZory_sikor,WmElblagWIOS_Bazynsk,WmOlsztyWIOS_Puszkin,WmOstrodWIOS_Chrobre,WmPuszcz_IOS_Borecka,WpWKP001,ZpKoszalin006,ZpMysMysliborz007,ZpSzcSzczecinek008,ZpSzczecin001
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
1/1/2012 0:00,39,14,4.9,28,35.625,35.7,26,36.4,19.9,,25,26,22.6,52,57,23.23,28.6,23.4,,126.333,102,84.125,101,30,66,76,43.2,55.8,46.7,41.2,70.6,,35,26.5,48.08,18.6,,22,24.5,34,,,,44.3,39.7,42.6,28,5,47,39,,,,,30.955,34.762,30.346,19.084,38.5,16.7,28,27.3,24.9
1/2/2012 0:00,17,4,9.1,14,19.455,12.2,6,32.7,8.9,22.8,13,14,22.9,15.8,26.4,6.9,11.4,10.4,,90.875,94,79.625,58,17,40,117,23.1,16.7,26.9,21.633,21.2,19,18,25.7,26.31,16.4,,13.4,15.7,11,,,37,24.1,30.2,31.2,5,5,20,21,,28,,36,18.412,16.542,15.084,15.768,15.4,1,6.5,8.8,6.7
1/3/2012 0:00,5,4,7.1,29,16.565,10.2,4,14.5,7.7,21.5,31,18,18.4,,18.2,5.81,8.3,7.9,,49.958,38,45.75,86,36,38,94,16.9,10.1,21.4,15.542,13.4,8,12,15.3,31.94,19.2,,24.9,31.4,5,3.1,3.1,18,29.9,14.8,52.6,14,5,28,21,,28,,30,10.017,7.896,8.724,9.434,9.9,2,7.4,3.6,4.2
1/4/2012 0:00,5,3,7.2,10,12.227,7.1,6,9.1,5.4,21.5,17,11,11.8,,12,4.17,4.3,6.4,,20.958,12,10.708,22,17,18,16,10.3,5.7,11.6,8.383,10.5,11,7,10.4,17.96,17,,15.9,21.9,5,3.6,3.6,14,11,9.6,13.2,5,5,15,5,19,11,,5,,3.522,6.195,6.268,8.8,1,4.9,2.4,3.8
1/5/2012 0:00,5,3,2,9,8.087,6.2,8,16.4,4.8,11.3,5,6,2.5,,8,3.09,3.3,3.7,6,12.417,6,6.167,10,9,11,5,10.7,8.2,12.9,8.625,8.9,5,6,10.4,23.77,10,,9.2,10.3,5,10.7,10.7,14,9.8,10.5,14.9,5,11,5,5,5,5,,5,6.369,5.211,2.308,6.467,6.3,1,4.1,3.4,1
1/6/2012 0:00,5,3,4.9,12,5.417,5.1,10,14.5,2,22.7,13,8,8.1,,10.2,3.27,4,4.6,12,11.333,8,7.833,10,12,15,7,14,7.3,3.8,9.225,10.9,2.5,5,18.9,25.22,13,,9,15.2,5,8,8,25,7.2,7,14.1,5,5,5,5,5,11,5,5,7.099,2.996,5.036,10.826,5,1,1,3.9,2.5
1/7/2012 0:00,5,4,5.9,12,10.25,12.9,10.7,12.7,7.6,20.2,12,12,11.9,21.7,20,6.72,7.8,7.1,19,29.125,21,22.125,29,20,31,48,21.8,13.9,23.1,16.846,18,8,8,14.1,30.66,22.8,,18.7,23.6,5,6,6,24,21.8,19,27.8,10,5,18,11,23,12,16,5,8.914,12.021,8.284,10.978,10.7,3.9,6.6,6.4,3.6
1/8/2012 0:00,11,2,8.4,12,9.238,10.9,7.9,9.1,4.2,32.7,21,25,19.3,14,15.6,4.9,5.6,7.9,36,34,29,26.875,90,26,35,18,19.6,,24.7,22.833,17.1,9,9,30.1,74.04,45.2,,29.3,30.3,5,3.5,3.5,36,20.1,20.1,28.1,19,5,15,16,18,27,11,5,5.279,8.859,8.701,17.414,9.1,1,2.3,5.9,3.4
1/9/2012 0:00,17,4,8.1,10,14.762,10.2,7.7,7.3,3.7,34.4,28,16,15.3,,24.2,8.17,10,10.4,43,38.208,36,29.042,61,31,40,22,20.5,,18.2,18.033,12.2,14,11,12.9,31.21,43.3,,20.9,25.6,5,8.8,8.8,,18.2,17.9,24.9,34,25,22,22,33,11,11,29,10.377,3.939,5.759,5.363,14.7,4.2,8.5,9.5,5.2
