Kod stacji,DsLegRzeczA,DsOsieczow,DsWalbWysA,DsWrocGrobla,DsZgorzBohA,KpBydgBerlinga,KpGrudzStar,KpTorunDziewulsk,KpWloclSielska,KpZielBoryTuch,LbBialaPOrzechowa,LbChelmJagWIOS,LbLublin_Sliwins_5,LbZamoscHrubieszowsk,LdLodzWIOSACzernik,LdLodzWSSEMLegiono,LdPiotrkWIOSMSienkie,LuGorzowWIOS_MAN,LuWschowWIOS_AUT,LuZgoraWIOS_AUT,MpBochniWIOSKBar0106,MpKrakowWIOSBuja6119,MpNSaczWIOSNadb6205,MpTarnowWIOSBitw6304,MpTrzebiWIOSZWM0305,MpZakopaWIOSRown1701,MzPiastowPulask,MzPlockPKN,MzRadomHallera,MzWarszUrsynow,MzWarTarKondra,OpKlucz2pyl,OpOpole4pyl,PdBialyWarszawska,PdLomzaSikorskiego,PkJasloWIOSSikorskiego,PkKrosnoWIOSKletowki,PkNiskoWIOSSzklar,PkRzeszWIOSNoweMiasto,Pm.01w.02m,Pm.63.wDSAa,Pm.AM12.a,SkBuskoWios2,SkKielJagielWios,SkStaracZlota2,SlBielbBiel_stern,SlCzestCzes_zana6,SlGliwiGliw_mewy,SlGodowWodz_wodzi,SlKatowKato_aleja,SlKatowKato_kossu,SlTarnoTarn_litew,SlZlotyJano_lesni,SlZoryzZory_sikor,WmElblagWIOS_Bazynsk,WmOlsztyWIOS_Puszkin,WmOstrodWIOS_Chrobre,WmPuszcz_IOS_Borecka,WpWKP001,WpWKPKalisz007/10,ZpKoszalin006,ZpMysMysliborz007,ZpSzcSzczecinek008,ZpSzczecin001
Wskaźnik,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
1/1/2014 0:00,78,56.5,21,50.3,23,52.3,46.5,49.2,46.5,51.6,20,19,,27,56,70,70,53.3,27,48.6,68,94,68,103,76,169,40.69,43.35,41.81,35.74,,46,40,18.7,,,27.7,32.7,29.9,40,46,48,58.36,47.88,46.9,27,,88,,78,,93,50,90,35.487452,30.744005,34.593656,19.46,68.3,58.3,40.1,,49.7,58.8
1/2/2014 0:00,63,25.6,23,50.3,31.9,45.2,42.2,48.3,40.7,48.6,28,29,42,32,56,70,74,34.1,38.4,40.2,122,135,44,32,58,83,54.68,50.25,40,46.07,,27,23,28.3,,,32.2,36.4,27.6,43,43,47,,57.32,57.7,19,68,83,102,67,,79,45,68,40.403,38.71546,40.134594,32.89,35.3,51.6,27.3,,47.8,31.8
1/3/2014 0:00,30,15.9,,35.4,23.9,26.8,51.7,50.2,41.6,50.2,43,38,43,35,48.9,62,72,19.7,16.7,26.9,46,172,91,32,60,108,56.3,51.52,55.81,46.98,,30,18,36.7,,,39.6,51.1,34.2,45,36,60,64.92,61.36,68.04,14,49,65,95,56,42,51,37,13,42.421,41.241939,38.102333,36.61,35.7,45.9,23.6,18.6,31.1,13.3
1/4/2014 0:00,24,15.3,16,26.7,22.1,14.6,45.8,33.1,30.9,22.9,51,29,49,43,38.7,51,65,16.3,20.2,24.1,24,135,70,21,57,81,48.49,35.19,41.28,41.18,,32,29,57.6,,43.7,38.9,53.1,32,25,17,43,40.82,56.05,48.44,19,46,69,84,57,42,69,39,61,32.206,31.570811,26.256401,32.48,27,32.2,11.3,17.3,22.8,11.9
1/5/2014 0:00,21,10.1,13,19.8,17.2,9.4,25.6,27.2,24.6,23.8,26,28,23,39,31.6,46.9,52,19.3,12.6,18.4,24,68,40,14,44,45,41.77,24.85,48.02,31.56,,29,22,24.7,,24.4,18.8,25.9,14.9,33,23,34,30.9,37,45.72,20,37,23,19,54,37,31,25,31,24.935,22.982376,23.039423,21.02,25.8,29,18.2,15,21.6,19
1/6/2014 0:00,26,12.6,4.5,14,11.3,2.3,20.9,17.1,17.5,16.5,34,27,21,30,20.4,31.1,29.6,13.9,10.3,17,29,55,52,22,27,36,21.25,21.04,24.73,17.41,,17,17,29,,20.7,43.8,28.4,26.3,12,12,16,27.33,22.49,28.85,27,36,27,51,37,41,34,16,36,14.197,13.371773,8.83084,13.26,16,20.8,9.4,12.2,10.8,9.1
1/7/2014 0:00,43,8.2,12,24.5,15.6,4.4,26.3,12.9,23.5,14,38,27,30,29,26.9,38.2,50,11.6,18,18,52,137,89,36,59,131,39.05,23.4,31.28,27.94,,20,22,26.8,,34.8,20.5,35.2,18.4,10,,21,57.39,84.69,57.34,38,35,30,41,49,31,34,24,20,19.29799,17.617836,14.975175,23.75,20.6,26.3,8.3,12.1,10.5,4.5
1/8/2014 0:00,24,10.8,26,24,19.3,14.1,16.9,13.1,18.3,15.5,38,20,22,19,22.4,27.3,33.8,11.6,20.7,18.3,61,82,,26,46,45,26.7,14.51,22.73,23.22,25.22,17,21,34.5,,29,5.86,33.5,14.2,10,9,23,42.47,42.08,29.57,22,25,25,21,40,30,25,23,26,21.477976,15.730402,21.318164,24.96,19.2,23.6,6.4,7.2,9.8,6.6
1/9/2014 0:00,18,10.3,13,20,14.1,4.5,12.4,17,19.6,14.8,24,17,21,17,24.4,32.7,33.6,11,9.4,11.7,19,96,70,12,55,76,23.61,20.32,26.37,20.86,22.32,16,15,19.4,,47.7,12.4,22.6,11.5,13,12,19,32.22,38.27,34.83,9,22,23,21,40,25,26,21,19,14.378276,14.547249,13.185328,16.1,21.4,28.2,,9.2,11.2,7.1
