,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161
,DsGlogWiStwo,DsJelGorSoko,DsLegAlRzecz,DsLubiWierzb,DsNowRudSreb,DsOlawZolnAK,DsOlesBrzozo,DsOsieczow21,DsPolKasztan,DsSwidnRynek,DsSzczaKolej,DsWalbrzWyso,DsWrocOrzech,DsWrocWybCon,DsZgorBohGet,DsZlotoStasz,KpBrodKochan,KpBydPlPozna,KpCiechTezni,KpGrudSienki,KpInowSolank,KpKoniczynka,KpNaklSkargi,KpToruDziewu,KpWloclOkrze,KpWloclSiels,KpZielBoryTu,LbBiaPodOrze,LbChelJagiel,LbKrasKoszar,LbLubSliwins,LbPulaKarpin,LbRadzPodSit,LbZamoHrubie,LdBrzeReform,LdKutnKosciu,LdLodzLegion,LdLodzRudzka,LdLowiczSien,LdOpocPlKosc,LdPabiKilins,LdPioTrKraPr,LdRadomsRoln,LdRawaNiepod,LdSieraPolna,LdSkierKonop,LdToMaSwAnto,LdWieluPOW12,LdZduWoKrole,LuGorzKosGdy,LuGorzPilsud,LuSulecDudka,LuWsKaziWiel,LuZarySzyman,LuZielKrotka,MpBochKonfed,MpChrzaPlTysMOB,MpDobczSzkolMOB,MpGorlKrasin,MpKalZebRyneMOB,MpKrakBujaka,MpKrakBulwar,MpKrakOsPias,MpKrakZloRog,MpMuszynKityMOB,MpNiepo3Maja,MpNoSaczNadb,MpNoTargPSlo,MpPiwnZdrojoMOB,MpTarBitStud,MpTrzebOsZWM,MpTuchChopin,MpWielDembowMOB,MpZakopaSien,MzGranicaKPN,MzGutyDuCzer,MzLegZegrzyn,MzMlawOrdona,MzOstroHalle,MzOtwoBrzozo,MzPiasPulask,MzPlocKroJad,MzRad25Czerw,MzSiedKonars,MzWarAKrzywo,MzWarAlNiepo,MzWarTolstoj,OpGlubRatusz,OpKKozBSmial,OpKluczMicki,OpNysaRodzie,OpOpoleOsAKr,OpZdziePiast,PdBialWaszyn,PdSuwPulaski,PkDebiGrottg,PkJarosPruch,PkJasloSikor,PkKrosKletow,PkMielPogodn,PkNiskoSzkla,PkPrzemGrunw,PkRzeszRejta,PkSanoSadowa,PkTarnDabrow,PmGdaGleboka,PmGdaLecz08m,PmGdyJozBema,PmKosTargo12,PmKwiSportow,PmLebMalcz16,PmLinieKos17,PmMalMicki15,PmSlupKniazi,PmWejhPlWejh,SkBuskRokosz,SkKielJagiel,SkKielKusoci,SkOzarOsWzgo,SkStaraZlota,SlBielKossak,SlCiesMickie,SlCzestoBacz,SlDabro1000L,SlGodGliniki,SlKatoKossut,SlKatoPlebA4,SlKnurJedNar,SlLublPiasko,SlMyszMiedzi,SlPszczBoged,SlRybniBorki,SlTarnoLitew,SlZabSkloCur,SlZawSkloCur,SlZorySikors,SlZywieKoper,WmElbBazynsk,WmIlawAnders,WmNiTraugutt,WmOlsPuszkin,WmPuszczaBor,WpGniePaczko,WpKaliSawick,WpLeszKiepur,WpNoTomSzpit,WpOstWieWyso,WpPilaKusoci,WpPleszAlMic,WpPoznChwial,WpPoznSzyman,WpTarPodZach,WpWagrowLipo,ZpKoszArKraj,ZpKoszSpasow,ZpMyslZaBram,ZpSzczAndr01,ZpSzczec1Maj,ZpSzczecPrze,ZpSzczPils02,ZpWiduBulRyb
,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10
,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Czas pomiaru,DsGlogWiStwo-PM10-24g,DsJelGorSoko-PM10-24g,DsLegAlRzecz-PM10-24g,DsLubiWierzb-PM10-24g,DsNowRudSreb-PM10-24g,DsOlawZolnAK-PM10-24g,DsOlesBrzozo-PM10-24g,DsOsieczow21-PM10-24g,DsPolKasztan-PM10-24g,DsSwidnRynek-PM10-24g,DsSzczaKolej-PM10-24g,DsWalbrzWyso-PM10-24g,DsWrocOrzech-PM10-24g,DsWrocWybCon-PM10-24g,DsZgorBohGet-PM10-24g,DsZlotoStasz-PM10-24g,KpBrodKochan-PM10-24g,KpBydPlPozna-PM10-24g,KpCiechTezni-PM10-24g,KpGrudSienki-PM10-24g,KpInowSolank-PM10-24g,KpKoniczynka-PM10-24g,KpNaklSkargi-PM10-24g,KpToruDziewu-PM10-24g,KpWloclOkrze-PM10-24g,KpWloclSiels-PM10-24g,KpZielBoryTu-PM10-24g,LbBiaPodOrze-PM10-24g,LbChelJagiel-PM10-24g,LbKrasKoszar-PM10-24g,LbLubSliwins-PM10-24g,LbPulaKarpin-PM10-24g,LbRadzPodSit-PM10-24g,LbZamoHrubie-PM10-24g,LdBrzeReform-PM10-24g,LdKutnKosciu-PM10-24g,LdLodzLegion-PM10-24g,LdLodzRudzka-PM10-24g,LdLowiczSien-PM10-24g,LdOpocPlKosc-PM10-24g,LdPabiKilins-PM10-24g,LdPioTrKraPr-PM10-24g,LdRadomsRoln-PM10-24g,LdRawaNiepod-PM10-24g,LdSieraPolna-PM10-24g,LdSkierKonop-PM10-24g,LdToMaSwAnto-PM10-24g,LdWieluPOW12-PM10-24g,LdZduWoKrole-PM10-24g,LuGorzKosGdy-PM10-24g,LuGorzPilsud-PM10-24g,LuSulecDudka-PM10-24g,LuWsKaziWiel-PM10-24g,LuZarySzyman-PM10-24g,LuZielKrotka-PM10-24g,MpBochKonfed-PM10-24g,MpChrzaPlTysMOB-PM10-24g,MpDobczSzkolMOB-PM10-24g,MpGorlKrasin-PM10-24g,MpKalZebRyneMOB-PM10-24g,MpKrakBujaka-PM10-24g,MpKrakBulwar-PM10-24g,MpKrakOsPias-PM10-24g,MpKrakZloRog-PM10-24g,MpMuszynKityMOB-PM10-24g,MpNiepo3Maja-PM10-24g,MpNoSaczNadb-PM10-24g,MpNoTargPSlo-PM10-24g,MpPiwnZdrojoMOB-PM10-24g,MpTarBitStud-PM10-24g,MpTrzebOsZWM-PM10-24g,MpTuchChopin-PM10-24g,MpWielDembowMOB-PM10-24g,MpZakopaSien-PM10-24g,MzGranicaKPN-PM10-24g,MzGutyDuCzer-PM10-24g,MzLegZegrzyn-PM10-24g,MzMlawOrdona-PM10-24g,MzOstroHalle-PM10-24g,MzOtwoBrzozo-PM10-24g,MzPiasPulask-PM10-24g,MzPlocKroJad-PM10-24g,MzRad25Czerw-PM10-24g,MzSiedKonars-PM10-24g,MzWarAKrzywo-PM10-24g,MzWarAlNiepo-PM10-24g,MzWarTolstoj-PM10-24g,OpGlubRatusz-PM10-24g,OpKKozBSmial-PM10-24g,OpKluczMicki-PM10-24g,OpNysaRodzie-PM10-24g,OpOpoleOsAKr-PM10-24g,OpZdziePiast-PM10-24g,PdBialWaszyn-PM10-24g,PdSuwPulaski-PM10-24g,PkDebiGrottg-PM10-24g,PkJarosPruch-PM10-24g,PkJasloSikor-PM10-24g,PkKrosKletow-PM10-24g,PkMielPogodn-PM10-24g,PkNiskoSzkla-PM10-24g,PkPrzemGrunw-PM10-24g,PkRzeszRejta-PM10-24g,PkSanoSadowa-PM10-24g,PkTarnDabrow-PM10-24g,PmGdaGleboka-PM10-24g,PmGdaLecz08m-PM10-24g,PmGdyJozBema-PM10-24g,PmKosTargo12-PM10-24g,PmKwiSportow-PM10-24g,PmLebMalcz16-PM10-24g,PmLinieKos17-PM10-24g,PmMalMicki15-PM10-24g,PmSlupKniazi-PM10-24g,PmWejhPlWejh-PM10-24g,SkBuskRokosz-PM10-24g,SkKielJagiel-PM10-24g,SkKielKusoci-PM10-24g,SkOzarOsWzgo-PM10-24g,SkStaraZlota-PM10-24g,SlBielKossak-PM10-24g,SlCiesMickie-PM10-24g,SlCzestoBacz-PM10-24g,SlDabro1000L-PM10-24g,SlGodGliniki-PM10-24g,SlKatoKossut-PM10-24g,SlKatoPlebA4-PM10-24g,SlKnurJedNar-PM10-24g,SlLublPiasko-PM10-24g,SlMyszMiedzi-PM10-24g,SlPszczBoged-PM10-24g,SlRybniBorki-PM10-24g,SlTarnoLitew-PM10-24g,SlZabSkloCur-PM10-24g,SlZawSkloCur-PM10-24g,SlZorySikors-PM10-24g,SlZywieKoper-PM10-24g,WmElbBazynsk-PM10-24g,WmIlawAnders-PM10-24g,WmNiTraugutt-PM10-24g,WmOlsPuszkin-PM10-24g,WmPuszczaBor-PM10-24g,WpGniePaczko-PM10-24g,WpKaliSawick-PM10-24g,WpLeszKiepur-PM10-24g,WpNoTomSzpit-PM10-24g,WpOstWieWyso-PM10-24g,WpPilaKusoci-PM10-24g,WpPleszAlMic-PM10-24g,WpPoznChwial-PM10-24g,WpPoznSzyman-PM10-24g,WpTarPodZach-PM10-24g,WpWagrowLipo-PM10-24g,ZpKoszArKraj-PM10-24g,ZpKoszSpasow-PM10-24g,ZpMyslZaBram-PM10-24g,ZpSzczAndr01-PM10-24g,ZpSzczec1Maj-PM10-24g,ZpSzczecPrze-PM10-24g,ZpSzczPils02-PM10-24g,ZpWiduBulRyb-PM10-24g
1/1/2016 0:00,"61,9","66,8","82,7","64,4","109,0","68,2","58,9","22,2","48,3","65,0","46,8","42,9",,"83,2","36,1","48,6","51,308388","68,8","68,517013","51,744074","49,237669","55,048288","92,324662","53,306335","74,924296","62,659056","46,3","30,0","32,0","49,0","35,0","36,0","28,0","50,0","96,0","57,0","57,0","108,0","93,0","141,0","77,0","97,0","86,0","79,0","96,0","58,0","111,0","30,0","86,0","96,9","59,7",,"81,2","34,6","46,9","155,4",,,"64,0",,"187,0","192,0","169,4","184,0",,"248,9","163,0",,,"111,9","95,0","151,0",,"163,2","40,02","15,96","69,67",,"20,5","63,97","50,25","50,62","57,88","24,7","43,37",,"41,73","52,0",,"66,0","164,0","62,0","85,0",,"19,311113","186,0","76,0","106,0","74,6",,"64,9","59,8","87,2","57,6","59,7",,"45,0","55,0","50,0","35,0","79,0","19,0","43,0",,"104,0","85,4","116,1","85,8",,"112,1","130,9","52,3",,"182,1","150,3",,"152,9","112,5","83,0","213,9","423,1",,"125,9","128,5","33,8","86,2",,"31,75","35,7","38,22","32,3","19,41",,"85,0","69,5","124,77","83,95","97,16","96,6",,"96,82","110,59","96,83","71,23","65,5","65,73","91,73","76,46","62,85","57,79","49,35"
1/2/2016 0:00,"55,8","69,1","68,4","50,3","98,2","52,0","44,6","54,8","60,2","99,4","71,9","80,4",,"50,3","71,0","65,0","31,506982","37,3","28,829738","27,328544","27,248698","18,875781","53,42801","20,55657","32,021178","28,575428","16,9","24,0","18,0","20,0","21,0","19,0","24,0","33,0","44,0","21,0","46,0","40,0","45,0","43,0","36,0","39,0","41,0","39,0","33,0","26,0","39,0","36,0","33,0","45,7","35,0","50,8","51,6","55,4","55,1","47,9",,,"52,0",,"43,1","60,0","38,9","49,0",,"42,0","64,0",,,"36,7","32,0","49,0",,"101,9","14,91","11,24","23,4",,"18,32","22,54","21,59","19,96","22,86","21,61","19,78",,"19,96","87,0",,"44,0","92,0","52,0","90,0",,"16,626001","47,7","28,9","38,8","32,2",,"19,0","36,9","26,8","51,6","21,4",,"18,0","14,0","26,0","16,0","36,0","18,0","28,0",,"36,0","21,9","24,0","30,1",,"21,6","126,8","136,2",,"33,6","83,2","43,4","40,8","58,9","55,1","36,0","66,2",,"68,1",,"45,2","49,3",,"16,51","20,9","33,26","22,3","14,17",,"38,4","43,9","94,43","45,95","32,16","34,4","27,36","21,27","34,86","39,38","26,61","21,23","53,1","44,09","30,36","23,42","36,62","41,37"
1/3/2016 0:00,"50,5","97,5","74,3","49,8","121,1","64,4","39,6","61,7","59,7","99,5","102,6","122,4",,"59,1","80,9","62,7","51,233639","44,2","43,506422","36,698545","37,753512","28,778468","74,165726","33,564353","45,148773","39,827167","20,9","31,0","20,0","26,0","32,0","32,0","37,0","34,0","58,0","37,0","66,0","59,0","66,0","95,0","51,0","60,0","45,0","53,0","49,0","49,0","51,0","16,0","41,0","43,4","31,2","44,3","42,4","54,1","40,9","78,9",,,"80,0",,"45,0","68,0","44,6","56,0",,"48,0","140,0",,,"41,9","37,0","66,0",,"170,0","34,97","25,75","61,32",,"35,2","49,43","38,83","35,92","37,19","29,97","37,74",,"42,64","94,0",,"61,0","101,0","53,0","20,0",,"65,461149","52,5","37,8","48,4","38,1",,,,"36,7","38,6","32,6",,"30,0","39,0","42,0","28,0","47,0","39,0","42,0",,"93,0","31,1","30,6","39,7",,"31,5","144,9","141,6",,"39,2","132,4",,"56,4","74,3","66,9","55,1","77,7",,"79,7","68,2","103,8","57,7",,"29,21","32,9","49,78","37,0","24,72",,"42,9","39,6","95,79","41,55","40,21","39,4","39,09","29,28","45,03","58,89","21,54","17,6","47,03","34,28","41,28","24,62","29,93","32,12"
1/4/2016 0:00,"74,3","53,8","93,5","81,6","49,7","77,4","69,9","87,2","91,1","99,3","46,2","26,2",,"88,8","119,3","75,0","57,70956","73,012699","51,962284","47,300518","60,396596","43,340937","85,3603","47,044608","67,037789","64,239829","28,7","47,0","34,0","42,0","53,0","51,0","51,0","51,0","86,0","58,0","106,0","86,0","98,0","109,0","77,0","83,0","74,0","73,0","81,0","67,0","78,0","57,0","72,0","62,8","46,2","73,3","72,5","87,7","71,6","142,5",,,"71,0",,"83,6","89,0","73,1","92,0",,"80,5","132,0",,,,"85,3","105,7",,"87,7","50,93","23,21",,,"33,38","80,14","51,89","52,07","52,07","48,14","47,17",,"56,79","87,0",,"85,0","166,0","89,0","74,0",,"36,135661",,"59,0","49,8","46,1",,,,"61,9","77,2","47,5",,"45,0","53,0","57,0","30,0","59,0","40,0","52,0",,"118,0","43,6","55,5","63,7","20,0","57,8","247,3","161,3",,"96,8",,,"133,9","167,2","109,2","111,8","154,8","197,7","177,1","168,5",,"119,7",,"8,35","37,1","48,13","41,2","29,2",,,"58,2","162,27","70,5","59,64",,"56,96",,"65,73","83,83","35,39","25,58","67,07","55,19","45,18","37,89","48,81","52,98"
1/5/2016 0:00,"118,0","84,1","115,0","107,3","107,5","89,1","103,4","88,8","130,6","104,5","80,9","51,5",,"96,3","97,0","68,5","90,366567","81,960818","60,360749","69,798667","77,631892","55,48319","87,102135","69,940093","80,069626","76,618811","39,5","48,0","41,0","71,0","74,0","71,0","53,0","76,0","115,0","83,0","131,0","118,0","136,0","158,0","112,0","118,0","104,0","96,0","137,0","110,0","99,0","93,0","123,0","85,1","64,8","97,9","127,5","112,6","98,6","154,0",,,"62,5",,"140,3","132,0","112,8","133,0",,"117,9","104,4",,,,"118,4","124,0",,"181,5","67,85","39,53",,,"49,89","178,29",,"65,5","83,1","55,22","73,48",,"87,45","51,0",,"121,0","114,0","74,0","88,0",,"44,933751",,"86,7","45,9","39,6",,"73,6","113,0","62,2",,"87,3",,"61,0","68,0","98,0","55,0",,"52,0","73,0",,"97,0","74,5","92,3","89,4","52,0","85,2","206,8","70,0",,"134,3","115,6","122,8","149,0","155,2","140,0","151,2","216,4","177,2","169,0","160,9","122,4","186,0",,"10,52","59,6","65,98","54,2","37,12",,,"99,0","216,34","144,58","71,67",,"80,93",,"88,88","96,56","46,99","35,74","82,35","79,95","69,04","57,99","58,81","70,03"
