Kod stacji,DsJelw05,DsWrocWie,KpCiechoTezniowa,KpWloclSielska,LbBialaPOrzechowa,LdLodzWSSEMWodna40,MpKrakowWIOSAKra6117,MpKrakowWIOSPrad6115,MzWarszKrucza,PkPrzemWIOSDolin
Wskaźnik,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
1/1/2001 0:00,6,,,,,,22.9,15,,80.93
1/2/2001 0:00,6,48.9,37.8,,,49,,,50.2,
1/3/2001 0:00,10,63.7,50.8,,26,87,60.1,,68.8,124.77
1/4/2001 0:00,6,74.4,34.3,,,67,35.3,32.5,44,
1/5/2001 0:00,4,32.3,44.1,,12,53,37.8,31.9,,85.26
1/6/2001 0:00,8,,62,,,44,35.6,35.1,41.5,
1/7/2001 0:00,6,,,,38,,51,29.7,,68.82
1/8/2001 0:00,6,,,,,50,32.9,21.3,40.3,
1/9/2001 0:00,5,36,32.2,20.6,23,55,19.6,14.9,52.1,
1/10/2001 0:00,5,57,,,,53,34.2,28.6,41.5,
1/11/2001 0:00,6,43,16.7,47.1,23,37,38.7,36.1,23.6,62.18
1/12/2001 0:00,5,31,,,,45,20.3,13.4,,
1/13/2001 0:00,4,36.9,32.5,,23,69,27.8,20,21.1,54.04
1/14/2001 0:00,4,40.7,,,,,42.8,35.1,,
1/15/2001 0:00,6,59.1,22.6,38.3,21,59,58.5,40.1,54.6,111.64
1/16/2001 0:00,8,87.6,,,,48,27.1,23.3,56.4,
1/17/2001 0:00,11,129.6,36.8,50.3,19,55,37.6,28.3,48.4,163.06
1/18/2001 0:00,11,103.6,,,,69,49.7,34.3,44.6,
1/19/2001 0:00,19,170,38,,20,63,53.3,,,129.99
1/20/2001 0:00,18,147.7,,,,92,67.2,,58.9,
1/21/2001 0:00,19,100.3,19.8,,27,,45.1,,,130.95
1/22/2001 0:00,11,76.1,,,,53,31,,53.3,
1/23/2001 0:00,6,44,53,58.4,22,60,38.5,23.1,49,104.3
1/24/2001 0:00,4,37.1,,,,39,29.5,16.1,39.1,
1/25/2001 0:00,5,44.7,46.4,28.8,16,50,35.2,24.9,49.6,70.99
1/26/2001 0:00,5,53.1,,,,62,30.4,28.6,,
