Kod stacji,DsJelw05,DsLegZlotor,DsLubinMaj,DsNRudaSrebPArch,DsSwidRynekArch,DsWrocWie,KpCiechoTezniowa,KpSadlog,KpSwiecGruczno,KpSwiecKolejowa,KpTorunDziewulsk,KpWloclSielska,KpWolice,LbBialaPOrzechowa,LbDorohWIOS,LbLublinPiel,LbLublin_Sliwins_5,LbZamoscHrubieszowsk,LdKutnoWIOSMWilcza,LdLodzWSSEMWodna40,MpAndrycWSSEKrak1801,MpBochniWSSESoln0102,MpChrzanWSSEGrzy0301,MpKrakowWIOSAKra6117,MpKrakowWIOSPrad6115,MpKrakowWSSERPod6113,MpNoTargWSSESzaf1102,MpOswiecWSSEWiez1301,MpTarnowWSSEMosc6301,MpWielicWIOSNiep1904,MzCiechStrazacka,MzOstrolTargowa,MzWarszBernWoda,MzWarszKrucza,MzWarszZelazWSSE,OpKkozle243,OpOpole45p,OpPrud189p,PdBialyLegionowa8,PdLomzaKopernika16,PdSuwPulaski,PkJasloWIOSFlor,PkPrzemWIOSPDom,SkChecBiaZag,SkKielJagiel,SkOzarowMiec,SkOzarowOsWz,WmOlsztyWSSE_Zolnier,WpKonin31018,WpLeszno411000,WpPila5710111,WpPoznan63117,ZpGryfWiduchowa003,ZpSzczWSSESped6
Wskaźnik,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
1/1/2003 0:00,11.125,,,,,,57.41,,41,43,151,,9.4,,11.3,26,,,,,129,70,73,,129,68,,,36,,,,43,102.4,46,,,,,25.9,,,77,71,,,,34.2,,,72,,,
1/2/2003 0:00,3.917,30.3,12,,,,,,21,22,95,,6.5,,,21,,,,31,28,10,43,,95,68,,39,16,,,,34,32.9,33,14,23,40,,,,,,29,,,,62.2,,,33,39,,
1/3/2003 0:00,4.167,,,,,,45.74,,18,21,71,,5.8,24,8.9,35,17.7,,,50,31,22,39,,18,21,,20,17,,,,,34.8,41,,,,,64.5,58.2,,57,25,,,,32,,67,,37,,
1/4/2003 0:00,11.583,,,,,,,,23,23,91,,,,,59,40.8,,,66,38,29,39,64.833,50,21,,45,21,,,,,60.4,58,,47,,,,,,,34,,,28.2,27.1,59,,,48,,
1/5/2003 0:00,10.042,,,,,,52.82,,34,30,130,,,27,11.1,63,64.8,,,,26,29,39,64,27,21,,45,13,,,,,57.7,63,,,,,65.6,133.7,,91,44,,29.6,22.9,43.8,,,124,67,,
1/6/2003 0:00,20.583,48.3,,,,64.6,,,52,47,115,,9.1,,,47,36.1,208.7,,59,65,43,41,73.545,48,30,,27,16,,,,,38.4,57,,,,,,,,,46,,21.2,,56.4,,,,50,,
1/7/2003 0:00,19.458,68.1,29,,,64.5,107.26,,105,84,248,47.1,28.3,17,11.9,35,35.7,56.6,,62,36,55,35,69.222,50,21,,48,7,,,,,47.6,70,86,88,111,,15.4,231.4,,85,48,,25.7,25.6,116.8,,101,,115,,
1/8/2003 0:00,22.667,117,63,,,134.1,,,138,114,409,,33.1,,,100,59,157.9,,119,174,120,74,,65,63,,58,46,,164,,,76.8,164,,,,,,,,,97,,23.5,36.2,62.6,,,,249,,7
