Kod stacji,LbLublinPiel,LdLodzWSSEMLegiono,MpKrakowWIOSBulw6118,MzWarszSGGW,SlZabrzZabr_sklod
Wskaźnik,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
Czas uśredniania,24g,24g,24g,24g,24g
1/1/2007 0:00,,,,12.2,28.302
1/2/2007 0:00,19.3,15,,,32.809
1/3/2007 0:00,17.4,15,,,21.204
1/4/2007 0:00,14.5,16,,,30.864
1/5/2007 0:00,11.9,13,,,14.691
1/6/2007 0:00,,19,,,33.704
1/7/2007 0:00,,17,,,17.809
1/8/2007 0:00,12.9,20,,,49.167
1/9/2007 0:00,15.9,15,,15.1,30.988
1/10/2007 0:00,17.6,13,,,24.043
1/11/2007 0:00,10.3,9,,,12.994
1/12/2007 0:00,11.9,9,,,9.29
1/13/2007 0:00,,12,,,9.846
1/14/2007 0:00,,9,,,13.673
1/15/2007 0:00,24.3,23,,,37.438
1/16/2007 0:00,38.4,28,,22.1,58.179
1/17/2007 0:00,34.5,27,,,54.475
1/18/2007 0:00,10.7,9,,,23.056
1/19/2007 0:00,6.8,11,,,4.938
1/20/2007 0:00,,13,,,22.315
1/21/2007 0:00,,10,,,11.327
1/22/2007 0:00,14.7,14,,,24.877
1/23/2007 0:00,11.5,19,,12.8,26.049
1/24/2007 0:00,7.5,17,,,26.975
1/25/2007 0:00,21.6,38,,,25.154
1/26/2007 0:00,20.4,26,,,62.284
1/27/2007 0:00,,15,,,24.012
1/28/2007 0:00,,18,,,20.247
1/29/2007 0:00,19.3,23,,,32.284
1/30/2007 0:00,18,26,,31.1,16.481
1/31/2007 0:00,12.6,20,,,31.049
2/1/2007 0:00,8.6,16,,,
2/2/2007 0:00,22.1,21,35.2,,
2/3/2007 0:00,,14,,,
2/4/2007 0:00,,19,,,
2/5/2007 0:00,19.9,20,,,
2/6/2007 0:00,32.2,34,,5.6,
2/7/2007 0:00,29.4,36,70.4,,
2/8/2007 0:00,23.8,41,,,
2/9/2007 0:00,39.8,43,,,
2/10/2007 0:00,,37,,,
2/11/2007 0:00,,36,,,
2/12/2007 0:00,23,50,85.8,,
2/13/2007 0:00,51.6,39,,40.9,
2/14/2007 0:00,39.8,35,,,
2/15/2007 0:00,22.8,27,,,
2/16/2007 0:00,15.1,27,,,
2/17/2007 0:00,,28,63.6,,
2/18/2007 0:00,,22,,,
2/19/2007 0:00,40.9,38,,,
2/20/2007 0:00,37,33,,33.5,
2/21/2007 0:00,8.6,18,,,
2/22/2007 0:00,22.5,25,54.7,,
2/23/2007 0:00,29,16,,,
2/24/2007 0:00,,29,,,
2/25/2007 0:00,,42,,,
2/26/2007 0:00,26.7,35,,,
2/27/2007 0:00,21.6,25,35.2,22.5,
2/28/2007 0:00,15.7,23,,,
3/1/2007 0:00,8,14,,,
3/2/2007 0:00,8.3,16,,,9.912
3/3/2007 0:00,,23,,,31.389
3/4/2007 0:00,,30,23.3,,24.66
3/5/2007 0:00,25,24,,,139.69
3/6/2007 0:00,22.6,26,,32.1,37.099
3/7/2007 0:00,38.7,30,,,39.105
3/8/2007 0:00,36.6,25,,,45.247
3/9/2007 0:00,45,26,,,57.13
3/10/2007 0:00,,25,,,121.265
3/11/2007 0:00,,21,,,22.346
3/12/2007 0:00,75,32,,,68.179
3/13/2007 0:00,27.4,30,,64.5,134.328
3/14/2007 0:00,31.3,18,,,179.92
3/15/2007 0:00,44.2,31,,,47.222
3/16/2007 0:00,39.6,31,99.1,,111.389
3/17/2007 0:00,,13,,,61.975
3/18/2007 0:00,,11,,,13.827
3/19/2007 0:00,12.7,18,,,25.463
3/20/2007 0:00,49.3,20,37.9,36.4,21.759
3/21/2007 0:00,20.4,20,,,27.716
3/22/2007 0:00,19,24,,,66.512
3/23/2007 0:00,29.3,19,,,29.66
3/24/2007 0:00,,19,69.4,,27.377
3/25/2007 0:00,,21,,,35.71
3/26/2007 0:00,,21,,,39.012
3/27/2007 0:00,,20,,28.5,47.932
3/28/2007 0:00,,27,,,43.889
3/29/2007 0:00,,23,,,55
3/30/2007 0:00,,22,,,88.735
3/31/2007 0:00,,25,62,,46.173
4/1/2007 0:00,,31,,,49.846
4/2/2007 0:00,,40,,,
4/3/2007 0:00,,21,90.7,63.6,
4/4/2007 0:00,,13,,,
4/5/2007 0:00,,15,,,
4/6/2007 0:00,,12,,,
4/7/2007 0:00,,14,,,
4/8/2007 0:00,,10,28.2,,
4/9/2007 0:00,,13,,,
4/10/2007 0:00,,13,,,
4/11/2007 0:00,,16,,5.8,
4/12/2007 0:00,,11,,,
4/13/2007 0:00,,12,,,
4/14/2007 0:00,,12,34.2,,
4/15/2007 0:00,,,,,
4/16/2007 0:00,,,,,
4/17/2007 0:00,26.8,,,41.7,
4/18/2007 0:00,10.9,,,,
4/19/2007 0:00,17.5,,23.3,,
4/20/2007 0:00,11.7,,,,
4/21/2007 0:00,,,,,
4/22/2007 0:00,,,,,
4/23/2007 0:00,21.7,,36.4,,
4/24/2007 0:00,17.4,13,,23.1,
4/25/2007 0:00,21.5,10,,,
4/26/2007 0:00,27,14,,,
4/27/2007 0:00,40.2,20,,,
4/28/2007 0:00,,10,49.5,,39.537
4/29/2007 0:00,,6,,,13.704
4/30/2007 0:00,11.8,8,,,6.728
5/1/2007 0:00,,11,,13.2,7.284
5/2/2007 0:00,20.1,11,,,19.815
5/3/2007 0:00,,7,35.4,,26.605
