Kod stacji,DsCzer02,DsDzia01,DsGlogNorw,DsGlogNorwArch,DsJelw05,DsJgGrottgeraPM,DsLegRzeczA,DsLegZlotor,DsLubinMaj,DsNRudaSrebPArch,DsOlawaSemi,DsPolkKasz,DsSwidRynek,DsSwidRynekArch,DsSzczKopPM,DsWalbWysPArch,DsWrocOrzech,DsWrocWie,DsZgorzBohA,KpBydgUjejskiego,KpBydgWPola,KpCiechoTezniowa,KpGrudzIkara,KpInowrSolan,KpKoniczZMSP,KpNakloPiotraSkargi,KpSadlog,KpTorunDziewulsk,KpTorunLotnisko,KpTorunSzpMiejski,KpWloclLady,KpWloclOkrzei,KpWolice,LbBialaPOrzechowa,LbBialaPPl.TrzechKrzyzy,LbChelmJagWIOS,LbChelmSzpWSSE,LbKrasnikKoszarowa,LbLeczna1000Lecia,LbLublinPiel,LbLublin_Sliwins_5,LbLublinSpokojna,LbLukowBrowarna,LbPulawySkowieszynska,LbRadzyPSitkowskiego,LbRejowiecFabrWIOS,LbTomaszowLubWIOS,LbZamoscHrubieszowsk,LbZamoscWSSE,LdLodzWIOSACzernik,LdLodzWIOSARubinst,LdLodzWSSEMLegiono,LdPabianWIOSAKonstan,LdRadomsWSSEMZeromsk,LdSieradWSSEMGrunwal,LdSkiernWSSEMReymont,LdZgierzWSSEMStRynek,LuGorzowWIOS_AUT,LuGorzowWSSE_1,LuZaryWSSE,LuZgoraWIOS_AUT,LuZgoraWSSE_1,MpBochniWSSEKons0105,MpChrzanWSSEGrzy0301,MpKrakowWIOSAKra6117,MpKrakowWIOSPrad6115,MpMaPodhWIOSKosc1508,MpMyslenWIOSRyne0906,MpNoTargWSSESzaf1102,MpNSaczWIOSPija6204,MpNSaczWSSETarn6202,MpOswiecWSSEWiez1301,MpProszWIOSKrol1404,MpSkawinWIOSOsie0606,MpTarnowWIOSSoli6303,MpTrzebiWIOSPils0303,MpWadowiWIOSPSka1805,MpWielicWIOSNiep1904,MzCiechStrazacka,MzLegionZegIMGW,MzOstMazSikorWSSE,MzOstrolTargowa,MzOtwockBrzozWSSE,MzPiaseczDworWSSE,MzPiastowPulask,MzPlockKolegWSSE,MzPruszKraszeWSSE,MzRadomCz,MzRadomCzWSSE,MzTluszczJKiel,MzWarszBernWoda,MzWarszKrucza,MzWarszSGGW,MzWarszZelazWSSE,MzWarZeganWSSE,MzWolOgrodowa,OpBrzeg101,OpGlub1pyl,OpKlucz227,OpNamys2pyl,OpOlesno3pyl,OpOpole246,OpZdze12392,PdBialyLegionowa8,PdLomzaSikorskiego,PdSuwPulaski,PkDebicaWSSEParkow,PkJarosWIOSJanPawII,PkJarosWSSE3Maja,PkJasloWIOSFabr,PkJasloWIOSFlor2,PkKrosnoWIOSKletowki,PkKrosnoWSSEKisielewskiego,PkNiskoWIOSSzklar,PkPrzemWIOSPDom,PkPrzemyslWIOSMick,PkRzeszWIOSSzop,PkRzeszWSSEPilsud,PkRzeszWSSEWierzb,PkSanokWSSEJezier,PkTarnobWSSE1Maja,Pm.00.s237m,Pm.00.s481m,Pm.06.s712m,Pm11WLADw07m,Pm14TCZEw06m,Pm.63.s079m,Pm.63.wDSMm,Pm.D,SkBuskoWios,SkKielJagiel,SkKielJagielWios,SkKielKusoc,SkOzarowMiec,SkOzarowOsWz,SkPolanTrzc,SlBielbBiel_kossa,SlCieszCies_dojaz,SlCzestCzes_baczy,SlDabroDabr_1000L,SlKatowKato_kossu,SlLubliLubl_piask,SlMiastMias_norwi,SlRacibRaci_studz,SlRybniRybn_borki,SlWodziWodz_bogum,SlZabrzZabr_sklod,SlZawieZawi_zawie,SlZywieZywi_koper,WmDzialdWSSE_Biedraw,WmElblagWSSE_Krole,WmOlsztyWSSE_Zolnier,WmPuszcz_IOS_Borecka,WpGnieznoPM10,WpLeszno411000,WpOstrowWlkpPM10,WpPila5710111,WpPoznanPM10szpital,WpPoznanSzymanowskiego17,ZpGryfWiduchowa003,ZpKoszalinWSSE,ZpSwinoujscieWSSE,ZpSzcSzczecinekPSSE,ZpSzczecin002,ZpSzczecinWSSE
Wskaźnik,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
1/1/2008 0:00,18,32,,,,,,,,,,,53,53,33.5,27,,,56,,62,,,20,,48,35.937,,52,,,,22.2,49,59,29.3,24.3,,55.6,,56.2,,,,37,,51.5,50,51,39,42,39,59,39,37,42,62,43.667,,28.3,39,35.2,60,,,60.458,,,,129.417,,,,119,98,121.542,,,60,,,,46,53,,,,39,39,,,54.9,,30,,,41,41,,47,49,,,58,43.542,27.333,,,,,100,,,,,,,,,,,,49,47,60,,23,37,,70,52,52,,,,29,141,,,77.4,83,,23,,255,,98,98,,78.3,,33.8,26.63,33,26,,34.5,30,,8.7,,,53,20.9,
1/2/2008 0:00,27,36,,,,,,24.7,22,,,,57,57,35.7,39,,23.9,50,,51,,,28,,46,21.848,41,23,,,39.7,27.2,26,88,42.5,41.4,,31.4,31.9,23.8,35.2,,27.9,44,,35.3,26.7,30.5,30,26.208,33,41,40,28,24,56,44.458,31.3,25.3,38,30.1,56,39,,31.417,,20,,38.625,60,,,51,38,43.417,,75,24,,,27.2,33,34,,38,,28,28,,,28.1,,29,,,,31,43,46,47,25,16.8,25,21.667,,,,,,,,,,,,,,,26,17,14,8,41,15,,25,44,,20,30,30,,22,19,26,61,,34,19,32,17,10,,45,,37,37,60,23.9,3.4,11.7,12.11,37,33,24,39.9,36,,24.7,18,17,18,22.7,22
1/3/2008 0:00,18,29,,,,10,,36.5,37,,,,83,83,56.3,61,,39.2,77,,49,,,21,,68,23.881,49,22,25,7,,23.6,33,74,36.8,29.5,,54.7,25,27.6,42.3,,23.6,34,,34.1,35,30.8,62,33.375,37,39,41,29,32,55,46.458,40.3,23.4,38,35.2,60,46,115.958,45.083,,19,,74.5,202,,,62,,56.667,,109,34,,,16.3,21,27,,37,,35,35,,,31.4,16,24,,,48,40,54,48,60,36,,21,29.087,,43,,,,51,,32,,,,,35,34,30,20,17,15,38,21,37,23,52,14,25,36,36,,41,22,27,118,,26,36.3,50,104,23,66,52,48,62,62,249,31,14,20.5,18.15,41,35,32,58.3,,,29.3,25,23,25,32.5,35
1/4/2008 0:00,15,33,,,,20,,36.4,46,153,,,105,105,70.2,42,,66.2,117,,49,,,19,,92,22.604,68,20,20,9,49.6,29.8,39,60,42.6,17.4,46.9,35.2,36.4,25.9,39,,27,39,,29.3,28.3,32.9,32,34.792,38,39,36,30,,49,50.042,40.3,70.2,39,49.1,84,49,129.375,44.792,280,30,35,173.667,,59,36,59,,50.042,76,,29,,,35.5,22,29,,35,,33,33,,,27.7,17.8,40,19,,59,49,65,39,53,83,,26,33.333,,31,42,32,38,46,,39,59.6,59,,48.3,31,31,42,,,21,41,20,43,26,58,20,25,41,41,,33,29,27,144,,26,30.9,61,48,21,147,79,122,65,65,325,14.4,16.6,20.2,16.84,52,34,37,40.3,37,59,28.9,24,20,28,31.3,38
1/5/2008 0:00,20,46,,,,23,42.3,32.8,45,177,,56.2,44,44,47,30,,51.1,52,,62,,,12,,111,37.07,,27,25,13,,,32,52,25.5,24.4,42.5,37.7,38.8,25.5,44.7,,29.3,37,,34.8,34.2,38.6,35,44.75,40,40,33,42,,46,,54.9,22.5,51,50.1,85,81,162.5,83.167,91,30,30,29.958,,125,36,64,29,66.042,99,,37,,,32.4,29,40,,45,36,35,35,,,31.4,19.7,53,25,,,36,56,42,61,32,,25,45.208,,39,43,42,22,19,,,72.1,78,,75.7,49,50,,32,34,,40,29,43,31,74,31,31,37,37,,37,28,37,53,,50,64.3,80,40,,144,238,179,172,172,22,39.9,22.1,17.5,20.72,59,60,33,42.5,48,47,36.9,39,40,46,44.2,50
1/6/2008 0:00,9,31,,,,19,47.8,25.5,27,82,,35.1,43,43,45.5,27,,35.1,46,,91,,,15,,26,48.523,,43,32,31,59.5,,33,43,64.9,25.9,44.4,35.7,37.1,30.4,46.2,,44.5,46,37.9,37.3,34.2,43.9,30,32.708,38,45,26,24,,54,,58.1,26.1,35,21.3,51,62,84.375,49.625,38,26,21,21.167,,64,50,63,20,60,46,,57,,,39.8,21,48,,64,48,40,40,,,31.7,14.9,38,36,,,33,32,49,36,32,,33,35.333,,20,51,,14,,,,71.7,101,,28.5,16,11,,32,,,64,54,58,53,107,39,17,21,21,,29,40,64,12,,,64.4,55,14,,10,54,41,64,64,10,53.2,31.1,30.6,22.01,67,59,32,54.4,72,30,,37,29,46,41.6,44
1/7/2008 0:00,17,25,,,,17,38.9,31,,117,,27.5,40,40,48.9,23,,35.3,29,,39,,,16,,20,28.996,38,44,45,35,,14.9,43,88,47.6,73.8,42.5,46.8,36,32.1,46.4,,49.1,,16.7,58.4,44.6,58.7,37,38.75,40,66,34,26,43,54,,49.9,16.6,24,23.7,49,63,75.208,59.708,90,18,43,80.417,104,50,31,49,42,61.958,41,,67,,55,59.2,20,62,,47,38,47,47,,,49.1,26.2,44,48,,39,29,47,53,32,43,22.4,26,56.958,,27,46,39,17,39,,,66.7,115,,40.1,25,21,8,24,33,,50,64,77,33,63,17,33,47,47,,28,33,78,23,,,48.8,48,13,18,16,49,56,57,57,24,55.9,40.1,42,30.08,71,29,,34.5,36,,14.9,14,15,38,25.8,25
1/8/2008 0:00,16,20,,,,19,35.8,36.6,33,136,,30.7,39,39,41.1,18,,44.1,32,,34,,,19,,63,12.35,47,22,35,7,40.2,25.1,74,95,45.7,50.1,48.9,44.3,35.9,36.3,46.6,,55.3,45,34.6,28.3,40.4,29.2,42,25.5,43,63,63,30,53,65,25.875,43.5,27.8,19,25.2,53,107,85.208,69.375,101,34,73,63.417,,152,46,46,50,80.75,31,,42,,42,91.4,59,48,,31,41,43,43,,,36.1,28,53,37,,39,37,52,60,37,53,,35,46.917,32.476,29,,27,21,41,,23,57.2,36,,32.6,27,21,14,28,15,21,17,17,35,21,54,14,57,57,57,,31,28,34,36,,,67.7,42,15,27,27,56,120,85,85,80,40.8,45.5,19.2,24.91,50,43,,27.5,44,53,11.3,16,14,29,21.3,28
