Kod stacji,DsWrocWisA,KpAirpWiktorowo,KpBydgPlPozn,KpBydgWarszawska,KpTorunDziewulsk,LdLodzWIOSACzernik,LdZgierzWIOSAMielcza,LuZgoraWIOS_AUT,MpKrakowWIOSAKra6117,MpKrakowWIOSBuja6119,MpKrakowWIOSBulw6118,MzLegionZegIMGW,MzPlockReja,MzRadomTochter,MzSiedlceKonar,MzWarNiepodKom,MzWarszUrsynow,MzZyrardRoosevel,OpKkozle1a,PdBialyMiejska,PdSuwPulaski,PkPrzemyslWIOSGrunw,Pm.a08a,Pm.AM12.a,SkKielJagielWios,SkMalogCemen3,SkPolanRuszcz,SlGliwiGliw_mewy,SlKatowKato_kossu,SlZlotyJano_lesni,WmOlsztyWIOS_Puszkin,WpWKP001,WpWKPKalisz007/10,ZpSzczecin001,ZpSzczecin002
Wskaźnik,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
Czas uśredniania,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g
1/1/2014 1:00,152,105,116,141,52,81,120,,104,78,64,44,,59,28,100,63,,115,12,,48,58,58,50,34,57,188,104,32,84,56,,105,109
1/1/2014 2:00,137,94,,122,,210,70,,104,65,63,103,,40,20,69,36,,134,39,,34,29,73,84,35,36,130,107,39,75,55,83,150,118
1/1/2014 3:00,129,102,,59,47,66,41,,91,63,62,75,,33,15,41,31,,137,13,,31,27,56,50,34,34,138,114,43,34,50,83,87,120
1/1/2014 4:00,129,102,,58,46,54,38,,89,59,58,39,,27,15,37,32,,137,22,,29,29,40,41,31,35,171,108,42,33,52,73,75,104
1/1/2014 5:00,105,89,,60,46,52,39,,83,56,55,27,,28,17,38,37,,136,16,,28,26,36,44,32,36,163,88,40,33,63,75,62,96
1/1/2014 6:00,92,84,,58,44,57,40,,81,54,54,28,,26,16,37,34,,142,15,,28,29,34,31,32,35,152,77,45,30,62,77,52,87
1/1/2014 7:00,92,93,62,56,44,55,40,,77,51,49,26,,25,16,35,27,,146,21,,29,32,34,32,32,33,126,85,46,28,53,81,59,78
1/1/2014 8:00,60,96,,56,40,51,38,,74,45,47,30,,38,18,29,25,,124,18,,29,31,40,39,35,31,111,80,36,29,52,84,61,72
1/1/2014 9:00,44,101,,57,33,47,41,,76,45,48,42,27,46,20,28,25,,87,18,,27,31,42,37,32,31,115,87,46,25,45,89,49,64
1/1/2014 10:00,44,107,,57,33,44,47,,77,50,44,31,35,38,21,31,25,,69,10,,29,31,38,35,26,34,89,86,44,21,45,82,51,56
1/1/2014 11:00,31,108,,64,35,47,47,,71,58,51,27,37,37,21,28,27,,56,18,,27,32,53,38,23,40,81,109,41,25,47,72,46,58
1/1/2014 12:00,24,108,,69,39,52,54,,82,68,56,26,42,36,24,29,28,,29,25,,26,33,65,37,25,39,86,114,47,26,46,60,52,50
1/1/2014 13:00,24,105,,81,43,53,54,,87,77,60,31,46,38,31,29,29,,33,22,,27,35,53,45,31,38,67,100,54,26,38,46,,44
1/1/2014 14:00,21,106,,81,43,59,52,,88,90,61,30,48,40,34,32,32,,32,18,,39,32,54,54,34,38,77,78,50,31,37,48,,51
1/1/2014 15:00,19,103,,78,43,60,62,,92,103,64,28,51,57,34,35,34,,28,14,,71,31,57,59,39,39,44,79,39,34,34,43,,50
1/1/2014 16:00,19,103,,77,52,71,70,,110,125,70,40,52,98,33,35,35,,18,14,,35,32,56,63,46,47,21,89,31,32,33,36,,40
1/1/2014 17:00,27,96,,80,53,61,72,,104,125,75,40,61,64,33,40,35,,20,19,,24,34,53,63,52,76,21,124,46,36,24,46,,38
1/1/2014 18:00,30,97,,90,53,61,66,,111,115,70,37,62,67,34,44,39,,21,16,,21,35,58,65,53,80,31,60,60,36,25,54,,41
1/1/2014 19:00,30,100,,94,54,53,60,,102,122,74,43,60,69,35,44,42,,29,13,,46,35,57,72,57,75,33,31,62,36,32,60,,48
1/1/2014 20:00,48,115,,97,54,60,63,,113,114,83,49,64,60,37,45,44,,34,13,,69,36,62,71,63,90,41,47,57,41,34,68,,37
1/1/2014 21:00,57,110,,106,54,70,60,,120,113,142,47,63,56,36,51,44,,27,18,,82,38,61,70,63,87,33,38,59,41,47,61,,25
