Kod stacji,DsJelGorOgin,DsWrocAlWisn,DsWrocWybCon,KpBydPlPozna,KpBydWarszaw,KpToruDziewu,LbLubObywate,LdLodzCzerni,LdLodzGdansk,LdZgieMielcz,LuZielKrotka,MpKrakAlKras,MpKrakBujaka,MpKrakBulwar,MzLegZegrzyn,MzPiasPulask,MzPlocMiReja,MzRadTochter,MzSiedKonars,MzWarAlNiepo,MzWarKondrat,MzWarWokalna,MzZyraRoosev,OpKKozBSmial,PdBialWaszyn,PdHajnowkJagMOB,PdSuwPulaski,PkMielSolski,PkPrzemGrunw,PmGdaLeczk08,PmKosTargo12,SkKielJagiel,SkMalo11List,SkPolaRuszcz,SlGliwicMewy,SlKatoKossut,SlZlotPotLes,WmOlsPuszkin,WpKaliSawick,WpPoznPolank,ZpSzczAndr01,ZpSzczPils02
Wskaźnik,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
Czas uśredniania,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g
1/1/2015 1:00,151,78,50,29,96,27,71,60,,59,,73,88,58,50,54,47,55,44,72,78,69,86,43,67,,29,56,19,,,57,40,72,78,51,50,44,26,24,,
1/1/2015 2:00,263,42,34,27,86,78,95,186,,45,52,55,54,52,92,80,27,41,37,43,64,49,62,55,103,,22,57,16,76,,62,34,57,50,38,46,50,33,30,82,215
1/1/2015 3:00,223,27,29,8,24,21,50,54,,24,16,61,50,48,43,48,24,38,33,38,36,38,59,54,49,,17,47,16,9,,50,35,42,52,42,49,21,24,29,26,28
1/1/2015 4:00,211,24,21,7,16,17,61,50,,20,20,62,42,51,39,42,21,37,31,35,30,34,53,48,37,,12,50,16,9,23,50,35,37,49,45,53,17,24,28,19,27
1/1/2015 5:00,191,22,23,9,15,17,49,39,,17,27,57,40,50,36,35,18,34,31,32,24,29,45,49,27,,7,46,16,7,,45,36,36,44,37,52,16,25,25,18,31
1/1/2015 6:00,115,19,19,7,13,16,40,28,,18,26,46,44,40,35,33,18,31,28,29,26,26,41,49,25,,6,45,16,5,,44,39,36,43,36,43,15,21,19,27,27
1/1/2015 7:00,21,23,27,5,12,12,36,19,,16,26,36,36,34,30,31,17,31,26,28,28,24,35,47,18,,5,44,16,8,,45,37,37,42,35,41,12,19,17,22,31
1/1/2015 8:00,20,32,24,8,12,8,37,21,,17,30,32,31,27,41,35,15,29,27,24,18,21,30,48,20,,5,45,17,6,16,40,31,39,46,37,33,13,16,14,30,30
1/1/2015 9:00,27,38,33,11,14,,35,21,,21,33,34,24,28,28,31,17,29,28,22,12,19,28,33,17,,4,37,18,8,16,38,24,44,50,39,25,11,19,14,32,34
1/1/2015 10:00,26,38,38,11,18,4,32,20,,23,36,37,25,27,24,31,21,33,29,22,11,20,29,0,18,,3,45,19,12,10,37,25,47,63,43,30,9,24,15,35,52
1/1/2015 11:00,23,47,43,14,23,14,36,23,,24,40,45,33,30,19,29,26,31,26,24,15,24,37,33,18,,1,47,20,12,,38,23,48,72,52,30,9,34,19,31,43
1/1/2015 12:00,22,52,44,15,21,17,26,29,,31,42,55,36,34,31,34,27,33,16,24,16,24,53,49,20,,3,42,20,12,,40,23,47,91,59,22,11,43,26,30,39
1/1/2015 13:00,20,44,45,18,26,22,38,29,,38,41,58,42,39,26,30,28,38,17,28,20,26,59,69,14,,1,37,21,13,18,44,20,48,82,66,27,15,49,23,24,36
1/1/2015 14:00,15,42,34,16,36,22,29,33,,,36,62,38,45,28,38,30,39,20,32,19,30,54,95,15,,6,41,22,14,23,34,22,48,112,74,31,16,43,17,24,38
1/1/2015 15:00,16,33,29,15,38,28,34,33,,,30,60,30,45,31,39,31,40,22,32,22,32,55,99,12,,9,43,23,15,,38,31,48,113,94,41,13,37,17,23,39
1/1/2015 16:00,25,34,36,16,34,26,29,41,,,30,55,38,45,32,54,33,46,24,34,19,34,57,96,20,,5,48,23,16,31,42,32,52,130,76,36,15,33,17,26,37
1/1/2015 17:00,30,47,38,12,26,33,25,50,,,30,58,36,43,30,54,32,52,26,34,16,35,59,86,14,,7,51,23,19,,46,33,53,119,77,34,18,31,18,23,42
1/1/2015 18:00,69,66,44,12,24,28,19,48,,,31,59,47,41,40,48,29,43,26,38,20,38,53,95,19,,8,54,24,17,,51,34,61,120,80,35,22,29,21,26,40
1/1/2015 19:00,102,65,52,10,24,14,49,42,,,33,70,57,47,52,52,30,49,29,35,32,34,53,89,23,,9,55,30,14,41,55,36,58,136,86,40,28,33,22,24,37
