Kod stacji,DsLegAlRzecz,DsOsieczow21,DsWalbrzWyso,DsWrocNaGrob,DsZgorBohGet,KpBydBerling,KpGrudSienki,KpToruDziewu,KpWloclSiels,LbBiaPodOrze,LbChelJagiel,LbLubSliwins,LbZamoHrubie,LdLodzCzerni,LdLodzLegion,LdPioTrKraPr,LuGorzPilsud,LuZarySzyman,LuZielKrotka,MpBochKonfed,MpKrakBujaka,MpNoSaczNadb,MpTarBitStud,MpTrzebOsZWM,MpZakopaSien,MzOstroHalle,MzPlocKroJad,MzRadHallera,MzWarKondrat,MzWarWokalna,OpKluczMicki,OpOpoleOsAKr,PdBialWarsza,PdLomSikorsk,PkJasloSikor,PkKrosKletow,PkNiskoSzkla,PkRzeszRejta,PmGdaPowWiel,PmKosTargo12,PmSlupKniazi,SkBuskRokosz,SkKielJagiel,SkStaraZlota,SlBielSterni,SlCzestoZana,SlGliwicMewy,SlGodGliniki,SlKatoKossut,SlKatoPlebA4,SlTarnoLitew,SlZlotPotLes,SlZorySikors,WmElbBazynsk,WmOlsPuszkin,WmOstrChrobr,WmPuszczaBor,WpKaliSawick,WpPleszAlMic,WpPoznPolank,ZpKoszSpasow,ZpMyslZaBram,ZpSzczAndr01,ZpSzczec1Maj
Wskaźnik,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
1/1/2015,27,20,30,44,26,23,32,24,20,40,49,33,38,,47,43,19,21,29,42,44,148,46,49,56,24,21,36,28,28,36,51,,36,44,,41,36,11,23,17,34,32,27,89,43,89,36,,83,65,38,76,16,18,19,17,25,43,36,19,24,31,19
1/2/2015,17,6,12,21,10,9,19,10,8,29,37,28,33,22,30,28,8,10,11,34,38,133,40,24,14,16,12,20,16,15,21,34,21,25,55,,38,43,6,13,7,32,23,16,11,30,25,22,,35,29,24,16,6,13,14,15,15,19,13,9,9,8,6
1/3/2015,11,5,14,15,7,5,11,6,4,12,20,8,13,11,18,14,6,14,12,13,9,11,17,13,17,10,7,9,9,7,7,9,7,14,17,,11,15,1,11,5,6,10,8,10,10,13,15,,22,14,7,15,2,5,6,4,9,15,12,4,7,8,5
1/4/2015,8,5,7,9,8,5,8,4,5,11,18,8,8,10,13,12,5,6,10,17,9,26,12,14,15,5,4,7,7,4,6,6,7,12,9,,11,9,1,13,6,9,10,17,11,9,9,13,,15,7,8,14,5,4,4,3,9,17,9,3,6,7,6
1/5/2015,14,5,7,14,13,4,20,7,10,13,20,8,10,13,22,3,9,7,11,33,28,33,18,26,21,6,9,9,9,5,12,10,7,15,32,,11,11,1,26,14,11,13,11,19,17,15,13,,29,16,14,21,8,5,6,3,17,36,14,4,11,15,11
1/6/2015,23,14,56,30,33,12,11,15,12,30,17,13,10,17,30,46,15,18,18,47,34,60,38,25,61,14,12,22,21,14,49,31,23,27,61,,17,65,7,27,11,18,18,15,70,37,56,30,,47,52,14,46,9,12,13,8,30,42,26,21,28,23,23
1/7/2015,33,21,25,61,24,33,55,24,16,44,62,22,51,31,44,46,25,24,24,50,98,140,,58,156,19,29,26,22,17,28,23,26,37,28,,46,53,27,42,,32,30,28,39,53,55,138,,82,62,41,65,25,21,20,14,41,42,44,28,32,19,31
1/8/2015,29,11,17,31,21,25,54,29,33,30,17,24,18,34,54,45,12,21,20,33,71,65,,42,155,46,37,53,49,43,32,10,,79,26,,26,17,17,31,14,39,52,48,12,31,38,31,,51,42,35,18,31,39,35,34,34,38,34,15,17,13,13
1/9/2015,7,4,7,8,7,4,14,7,7,21,22,13,20,12,21,15,4,6,9,11,11,17,18,14,10,12,7,11,15,9,6,8,15,23,18,,19,20,3,15,8,11,9,11,9,9,11,15,9,22,9,10,9,6,9,9,,8,11,11,7,7,7,6
1/10/2015,6,2,7,9,4,5,15,4,5,19,23,11,14,13,21,14,3,6,7,10,10,19,18,13,11,7,6,13,13,7,3,6,8,19,8,,11,13,3,14,6,11,9,9,6,10,11,12,12,22,13,7,10,6,7,6,,7,11,10,6,5,6,5
1/11/2015,8,4,9,,6,4,8,5,6,13,18,8,11,9,15,12,4,8,9,10,11,12,15,13,10,8,6,10,11,6,3,8,7,10,12,,9,9,3,7,5,6,8,4,7,9,9,11,11,14,10,6,8,3,6,6,4,8,12,9,4,5,5,4
1/12/2015,7,4,9,,8,4,17,6,6,16,21,9,12,11,18,13,6,14,7,10,11,12,16,14,12,7,6,11,12,9,3,41,5,16,8,,9,10,2,18,7,9,9,14,6,13,9,8,,,10,8,7,5,6,7,4,9,10,9,7,5,5,6
1/13/2015,9,4,9,11,7,4,16,8,7,18,17,13,13,10,16,14,7,8,9,13,30,55,16,26,33,9,9,15,12,12,5,10,12,20,20,20,16,17,3,11,7,16,14,19,7,9,14,,14,,19,14,,8,10,10,8,12,12,10,6,6,5,6
1/14/2015,23,4,11,13,10,5,17,11,9,37,29,25,20,18,31,32,7,8,9,22,50,93,26,37,44,13,16,26,17,18,18,15,21,33,22,18,21,17,3,18,9,46,34,37,9,28,23,33,24,,30,23,24,10,9,10,9,17,23,15,7,9,4,7
1/15/2015,12,6,8,14,9,12,21,15,16,51,39,35,37,22,29,30,6,8,12,17,45,59,25,27,54,29,23,31,23,21,8,11,35,50,19,25,44,19,,19,10,18,26,35,7,42,29,30,11,,36,17,26,13,20,20,13,17,22,11,8,15,6,10
1/16/2015,49,16,23,32,26,19,41,25,29,22,21,17,23,31,39,61,16,26,31,16,109,19,21,29,48,27,34,32,30,27,19,29,25,45,20,18,18,13,20,34,17,23,27,23,11,47,57,76,30,,46,23,32,24,27,23,25,30,37,29,14,22,7,14
