uid,Kod stanowiska,Kod stacji,Nazwa stacji,Stary Kod stacji,Wskaźnik - kod,Wskaźnik,Czas uśredniania,Typ pomiaru,Data uruchomienia,Data zamknięcia,Status stanowiska,Województwo,Nazwa strefy
,DsBialka-CO-1g,DsBialka,Białka,DsBialka,CO,tlenek węgla,1-godzinny,automatyczny,2004-01-01,2005-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBialka-NO2-1g,DsBialka,Białka,DsBialka,NO2,dwutlenek azotu,1-godzinny,automatyczny,2004-01-01,2005-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBialka-NOx-1g,DsBialka,Białka,DsBialka,NOx,tlenki azotu,1-godzinny,automatyczny,2004-01-01,2005-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBialka-Pb(PM10)-24g,DsBialka,Białka,DsBialka,Pb(PM10),ołów w PM10,24-godzinny,manualny,1990-01-03,2005-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBialka-PM10-1g,DsBialka,Białka,DsBialka,PM10,pył zawieszony PM10,1-godzinny,automatyczny,2004-01-01,2005-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBialka-PM10-24g,DsBialka,Białka,DsBialka,PM10,pył zawieszony PM10,24-godzinny,manualny,2004-01-01,2005-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBialka-SO2-1g,DsBialka,Białka,DsBialka,SO2,dwutlenek siarki,1-godzinny,automatyczny,2004-01-01,2005-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBielGrot-NO2-24g,DsBielGrot,Bielawa - ul. Grota Roweckiego,DsBielGrot,NO2,dwutlenek azotu,24-godzinny,manualny,1994-01-02,2003-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBielGrot-SO2-24g,DsBielGrot,Bielawa - ul. Grota Roweckiego,DsBielGrot,SO2,dwutlenek siarki,24-godzinny,manualny,1994-01-02,2003-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBogatFrancMOB-PM10-1g,DsBogatFrancMOB,Bogatynia Mobil,DsBogatMob,PM10,pył zawieszony PM10,1-godzinny,automatyczny,2015-01-01,2015-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBogChop-NO2-1g,DsBogChop,Bogatynia - Chopina,DsBogChop,NO2,dwutlenek azotu,1-godzinny,automatyczny,1996-01-01,2013-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBogChop-NOx-1g,DsBogChop,Bogatynia - Chopina,DsBogChop,NOx,tlenki azotu,1-godzinny,automatyczny,1996-01-01,2013-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBogChop-PM10-1g,DsBogChop,Bogatynia - Chopina,DsBogChop,PM10,pył zawieszony PM10,1-godzinny,automatyczny,2003-01-01,2013-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBogChop-SO2-1g,DsBogChop,Bogatynia - Chopina,DsBogChop,SO2,dwutlenek siarki,1-godzinny,automatyczny,1996-01-01,2013-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBogZatonieMob-PM10-24g,DsBogZatonieMob,Bogatynia - Mobil,DsBogZatonieMob,PM10,pył zawieszony PM10,24-godzinny,automatyczny,2012-01-01,2012-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBoleslaMOB-CO-1g,DsBoleslaMOB,Bolesławiec,DsBoleslaMOB,CO,tlenek węgla,1-godzinny,automatyczny,2017-01-01,,aktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBoleslaMOB-NO2-1g,DsBoleslaMOB,Bolesławiec,DsBoleslaMOB,NO2,dwutlenek azotu,1-godzinny,automatyczny,2017-01-01,,aktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBoleslaMOB-NOx-1g,DsBoleslaMOB,Bolesławiec,DsBoleslaMOB,NOx,tlenki azotu,1-godzinny,automatyczny,2017-01-01,,aktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBoleslaMOB-O3-1g,DsBoleslaMOB,Bolesławiec,DsBoleslaMOB,O3,ozon,1-godzinny,automatyczny,2017-01-01,,aktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBoleslaMOB-PM10-1g,DsBoleslaMOB,Bolesławiec,DsBoleslaMOB,PM10,pył zawieszony PM10,1-godzinny,automatyczny,2017-01-01,,aktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBoleslaMOB-SO2-1g,DsBoleslaMOB,Bolesławiec,DsBoleslaMOB,SO2,dwutlenek siarki,1-godzinny,automatyczny,2017-01-01,,aktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBolGorn-NO2-24g,DsBolGorn,Bolesławiec - Górników,DsBolGorn,NO2,dwutlenek azotu,24-godzinny,manualny,2002-01-08,2003-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBolGorn-SO2-24g,DsBolGorn,Bolesławiec - Górników,DsBolGorn,SO2,dwutlenek siarki,24-godzinny,manualny,2002-01-08,2003-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBolRynek-NO2-24g,DsBolRynek,Bolesławiec - Rynek,DsBolRynek,NO2,dwutlenek azotu,24-godzinny,manualny,1993-01-02,2002-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBolRynek-SO2-24g,DsBolRynek,Bolesławiec - Rynek,DsBolRynek,SO2,dwutlenek siarki,24-godzinny,manualny,1993-01-02,2002-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBrzegGlog-Pb(PM10)-24g,DsBrzegGlog,Brzeg Głogowski,DsBrzegGlog,Pb(PM10),ołów w PM10,24-godzinny,manualny,1980-01-01,2003-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsBrzegGlog-SO2-24g,DsBrzegGlog,Brzeg Głogowski,DsBrzegGlog,SO2,dwutlenek siarki,24-godzinny,manualny,1980-01-01,2003-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsChojnowKil-NO2-24g,DsChojnowKil,"Chojnów,ul.Kilińskiego",DsChojnowKil,NO2,dwutlenek azotu,24-godzinny,manualny,2004-01-06,2005-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
,DsChojnowKil-SO2-24g,DsChojnowKil,"Chojnów,ul.Kilińskiego",DsChojnowKil,SO2,dwutlenek siarki,24-godzinny,manualny,2004-01-06,2005-12-31,nieaktywny,DOLNOŚLĄSKIE,strefa dolnośląska
