uid,Kod stacji,Kod międzynarodowy,Nazwa stacji,Stary Kod stacji,Data uruchomienia,Data zamknięcia,Status,Typ stacji,Typ obszaru,Rodzaj stacji,Województwo,Miejscowość,Ulica,WGS84 φ N,WGS84 λ E
,DsBialka,,Białka,DsBialka,1990-01-03,2005-12-31,nieaktywny,przemysłowa,podmiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Białka,,"51,197783","16,11739"
,DsBielGrot,,Bielawa - ul. Grota Roweckiego,DsBielGrot,1994-01-02,2003-12-31,nieaktywny,tło,miejski,w budynku,DOLNOŚLĄSKIE,Bielawa,ul. Grota Roweckiego 6,"50,68251","16,617348"
,DsBogatFrancMOB,PL0602A,Bogatynia Mobil,DsBogatMob,2015-01-01,2015-12-31,nieaktywny,tło,miejski,mobilna,DOLNOŚLĄSKIE,Bogatynia,ul. Francuska/Kręta,"50,940998","14,91679"
,DsBogChop,PL0315A,Bogatynia - Chopina,DsBogChop,1996-01-01,2013-12-31,nieaktywny,przemysłowa,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Bogatynia,ul. Chopina 35,"50,905856","14,967175"
,DsBogZatonieMob,PL0576A,Bogatynia - Mobil,DsBogZatonieMob,2012-01-01,2012-12-31,nieaktywny,przemysłowa,miejski,mobilna,DOLNOŚLĄSKIE,Bogatynia,"ul. Konrada, Zatonie","50,943245","14,913327"
,DsBoleslaMOB,PL0658A,Bolesławiec,DsBoleslaMOB,2017-01-01,,aktywny,tło,miejski,mobilna,DOLNOŚLĄSKIE,Bolesławiec,Juliusza Słowackiego 2,"51,263245","15,570354"
,DsBolGorn,,Bolesławiec - Górników,DsBolGorn,2002-01-08,2003-12-31,nieaktywny,tło,miejski,w budynku,DOLNOŚLĄSKIE,Bolesławiec,ul. Górników 8,"51,25755","15,567435"
,DsBolRynek,,Bolesławiec - Rynek,DsBolRynek,1993-01-02,2002-12-31,nieaktywny,tło,miejski,w budynku,DOLNOŚLĄSKIE,Bolesławiec,ul. Rynek 41,"51,263183","15,564572"
,DsBrzegGlog,,Brzeg Głogowski,DsBrzegGlog,1980-01-01,2003-12-31,nieaktywny,przemysłowa,pozamiejski,w budynku,DOLNOŚLĄSKIE,Brzeg Głogowski,,"51,691438","15,91784"
,DsChojnowKil,PL0185A,"Chojnów,ul.Kilińskiego",DsChojnowKil,2004-01-06,2005-12-31,nieaktywny,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Chojnów,ul. Kilińskiego,"51,268889","15,940278"
,DsChojnowKosc,,"Chojnów,ul.Kościuszki",DsChojnowKosc,2006-01-01,2006-04-30,nieaktywny,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Chojnów,ul. Kościuszki,"51,274199","15,937163"
,DsCzar07,PL0186A,Czarna Góra,DsCzar07,1996-12-01,2008-09-30,nieaktywny,tło,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Czarna Góra,,"50,255072","16,801641"
,DsCzerStraza,PL0028A,Czerniawa,DsCzer02,1996-07-01,,aktywny,tło,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Czerniawa,ul. Strażacka 7,"50,912475","15,31219"
,DsCzLasMob,PL0599A,Czarny Las - Mobil Mercedes,DsCzLasMob,2013-01-01,2013-12-31,nieaktywny,tło,pozamiejski,mobilna,DOLNOŚLĄSKIE,Czarny Las,,"51,541658","16,937064"
,DsDuszZiel,,Duszniki Zdrój - ul. Zielona,DsDuszZiel,1993-01-02,2003-12-31,nieaktywny,tło,miejski,w budynku,DOLNOŚLĄSKIE,Duszniki-Zdrój,ul. Zielona 23,"50,393396","16,38247"
,DsDzialoszyn,PL0054A,Działoszyn,DsDzia01,1996-07-01,,aktywny,przemysłowa,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Działoszyn,,"50,972167","14,941319"
,DsDziePilsud,PL0187A,Dzierżoniów - Piłsudskiego,DsDzierPilsA,2005-01-01,,aktywny,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Dzierżoniów,ul. Piłsudskiego 26,"50,732817","16,64805"
,DsDzierKras,,Dzierżoniów - ul. Krasickiego,DsDzierKras,1986-01-02,2003-12-31,nieaktywny,tło,miejski,w budynku,DOLNOŚLĄSKIE,Dzierżoniów,ul. Krasickiego 36,"50,726338","16,647286"
,DsGlogMob,PL0625A,Głogów - Wita Stwosza - mobil,DsGlogMob,2014-01-01,2014-12-31,nieaktywny,tło,miejski,mobilna,DOLNOŚLĄSKIE,Głogów,ul. Wita Stwosza,"51,657022","16,097822"
,DsGlogNorw,PL0188A,Głogów - Norwida,DsGlogNorw,2011-01-01,2014-12-31,nieaktywny,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Głogów,ul. Norwida 3,"51,65713","16,086188"
,DsGlogNorwArch,,Głogów - Norwida Arch,DsGlogNorwArch,1994-01-01,2009-12-31,nieaktywny,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Głogów,ul. Norwida 3,"51,657152","16,086183"
,DsGlogOrzech,,"Głogów, ul. Orzechowa",DsGlogOrzech,1980-01-01,2003-12-31,nieaktywny,tło,miejski,w budynku,DOLNOŚLĄSKIE,Głogów,ul. Orzechowa,"51,648546","16,092286"
,DsGlogowko,,Głogówko,DsGlogowko,1980-01-01,2003-12-31,nieaktywny,przemysłowa,pozamiejski,w budynku,DOLNOŚLĄSKIE,Głogówko,,"51,731824","16,097768"
,DsGlogSikor,PL0260A,"Głogów, ul. Sikorskiego",DsGlogSikor,2003-10-01,2013-12-31,nieaktywny,przemysłowa,podmiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Głogów,ul. Żukowicka 1,"51,664508","16,040822"
,DsGlogWiStwo,PL0603A,Głogów - Wita Stwosza,DsGlogWita,2015-01-01,,aktywny,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Głogów,ul. Wita Stwosza 3,"51,657022","16,097822"
,DsGrodziec,,Grodziec Mały,DsGrodziec,1980-01-01,2003-12-31,nieaktywny,przemysłowa,pozamiejski,w budynku,DOLNOŚLĄSKIE,Grodziec Mały,,"51,687496","16,073213"
,DsJasnaSport,PL0316A,Jasna Góra - Sportowa,DsJasnaSport,1996-01-01,2013-12-31,nieaktywny,przemysłowa,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Jasna Góra,ul. Sportowa 13,"50,873692","14,954236"
,DsJawDmow,,Jawor - Dmowskiego,DsJawDmow,1994-01-03,2003-12-31,nieaktywny,tło,miejski,w budynku,DOLNOŚLĄSKIE,Jawor,ul. Dmowskiego 8,"51,057121","16,179854"
,DsJedlZdroj,,Jedlina Zdrój - Plac Zdrojowy,DsJedlZdroj,1993-01-02,2003-12-31,nieaktywny,tło,miejski,w budynku,DOLNOŚLĄSKIE,Jedlina-Zdrój,pl. Zdrojowy 1,"50,728378","16,345481"
,DsJelGorOgin,PL0585A,Jelenia Góra - Ogińskiego,DsJeleniaGoraA,2014-10-20,,aktywny,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Jelenia Góra,ul. Ogińskiego 6,"50,913433","15,765608"
,DsJelGorSoko,PL0586A,Jelenia Góra - Sokoliki,DsJeleniaGoraPM,2014-01-01,,aktywny,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Jelenia Góra,ul. Sokoliki 6,"50,871214","15,700947"
,DsJelw05,PL0026A,Jeleniów,DsJelw05,1996-07-01,2009-12-31,nieaktywny,tło,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Jeleniów,,"51,224843","15,232984"
,DsJgCiep,,Jelenia Góra - Cieplice,DsJgCiep,1982-01-02,2004-12-31,nieaktywny,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Jelenia Góra,ul. Park Zdrojowy,"50,862966","15,681788"
